3604
qstr_Breaking_camp... Breaking_camp...
qstr_The_other_two_champi The_other_two_champions_have_followed_Morrigan_to_her_lair_and_sent_a_messenger_to_inform_you_where_they_are._They_await_your_arrival_before_attacking._The_moment_is_here_to_go_to_Morrigan's_lair.
qstr_Near_the_end_of_the_ Near_the_end_of_the_world,_where_the_waves_beat_the_cliffs_and_the_albatrosses_nest,_there_is_a_little_rough_valley,_barely_visible_from_a_distance._A_cave_is_hidden_there._You_cannot_control_it;_Morrigan_song_resonates_in_your_head,_and_you_feel_your_lips_move_to_it._It_breathes_magic...^^Far_from_the_cave,_half_hidden_by_rocks,_you_can_distinguish_the_two_champions_with_a_few_men._They_seem_to_have_left_the_bulk_of_their_army_hidden_elsewhere_to_avoid_attracting_attention._They_wait.^^But_when_you_take_a_step_toward_them,_the_song_intensifies._This_time,_it_is_not_in_your_mind..._Morrigan's_beasts_attack_you!
qstr_The_battle_was_tough The_battle_was_tough_and_pushed_you_near_the_valley._Your_men_stayed_behind,_protecting_the_rear,_because_they_realized_numbers_are_useless_in_the_narrow_valley._It_is_time_to_seek_the_support_of_the_other_champions_and_move_towards_Morrigan_before_her_forces_reorganize.
qstr_The_mystery_of_Morri The_mystery_of_Morrigan_having_been_solved,_it_seems_that_the_fog_dissipates_and_the_world_regains_its_colors._You_leave_behind_the_cave_and_the_terror.
qstr_Mael_Bresail_s_farm_ Mael_Bresail's_farm_is_the_typical_Irish_farmhouse_--_a_large_main_house_with_smaller_buildings_about_it,_all_surrounded_by_a_palisade.
qstr_You_settle_into_the_ You_settle_into_the_seat_of_honor_in_the_great_hall_of_the_house._The_best_mead_and_wine_brought_from_Frankia_are_at_your_disposal._The_tastiest_dishes_fill_the_room_with_their_aroma_and_delight_your_palate._It_is_one_of_the_best_symbels_you've_ever_enjoyed._Your_men_have_fun,_looking_happy._The_hours_pass_without_you_noticing.^^Suddenly,_you_realize_that_all_the_women_have_left_the_room._What_is_happening?_A_burning_smell_irritates_your_nostrils._When_you_investigate_its_origin,_you_see_fire_in_the_walls_of_the_house._Someone_yells,_'Fire!'_The_alarm_is_raised,_but_when_one_of_your_men_rushes_to_the_entrance,_he_finds_the_door_barred_from_outside.^^Mael_Bresail_has_betrayed_you_and_tries_to_burn_you_inside._If_you_do_not_hurry_to_find_a_way_out,_everyone_will_die_soon,_suffocated_by_smoke_and_burned_by_fire.
qstr_You_have_managed_to_ You_have_managed_to_escape_the_fire_trap_set_by_Mael_Bresail_to_kill_you,_but_it_seems_that_you're_not_safe_yet...
qstr_Mael_Bresail_had_bet Mael_Bresail_had_betrayed_you,_but_you_escaped_from_the_flames_of_his_hall_and_defeated_the_men_who_had_wanted_to_kill_you._Now,_this_site_only_brings_bad_memories_to_mind.
qstr_Part_of_your_food_wa Part_of_your_food_was_destroyed.
qstr_Your_men_think_that_you_are_a_s Your_men_think_that_you_are_a_strong_leader.
qstr_While_your_messenger While_your_messengers_try_to_negotiate_with_the_enemy_raiders,_a_squad_of_your_men_appears_by_chance,_and_a_battle_begins._Your_men_manage_to_destroy_the_looters_and_fix_the_problem,_but_at_the_cost_of_some_lives.^^Your_casualties:_{s8}^^Enemy_casualties:_{s10}
qstr_The_enemy_raiders_ac The_enemy_raiders_accept_the_deal,_take_the_money,_and_promise_not_to_attack_your_supplies_for_some_weeks.
qstr_The_raiders_take_the The_raiders_take_the_money,_kill_the_messengers,_and_continue_to_damage_your_supply_routes.
qstr_You_don_t_have_enough_s You_don't_have_enough_silver._You_order_water_to_be_rationed_and_wells_to_be_dug.
qstr_the_enemy_thinks_rei the_enemy_thinks_reinforcements_will_soon_arrive.
qstr_fear_and_discontent_ fear_and_discontent_are_spreading_inside.
qstr_he_likes_the_wife_of he_likes_the_wife_of_his_former_master,_and_he_will_fight_by_your_side_if_you_give_her_to_him_after_the_conquest.
qstr_the_enemy_s_morale_i the_enemy's_morale_is_low,_and_we_should_attack.
qstr_wergild_is_paid. wergild_is_paid.
qstr_The_wergild_is_paid_ The_wergild_is_paid_and_your_warrior_whipped.
qstr_Your_men_think_you_r Your_men_think_you're_heartless_and_fear_you.
qstr_You_feel_happy. You_feel_happy.
qstr_You_feel_good_for_he You_feel_good_for_helping.
qstr_New_troops_join_your New_troops_join_your_party.
qstr_The_bandits_leave_an The_bandits_leave,_angry.
qstr_Your_men_kill_all_th Your_men_kill_all_the_bandits.
qstr_At_night_some_of_you At_night,_some_of_your_men_make_off_with_happy_widows.
qstr_Your_enemies_appreci Your_enemies_appreciate_your_pity._Perhaps_this_will_help_you_when_you_negotiate_their_surrender.
qstr_You_know_that_in_the You_know_that_in_the_coming_days,_dozens_of_children,_women_and_elderly_will_die_before_your_eyes,_languishing_from_hunger.
qstr_Your_officer_seems_u Your_officer_seems_upset.
qstr_Your_men_think_that_you_are_a_v Your_men_think_that_you_are_a_very_strong_leader.
qstr_Your_officer_seems_h Your_officer_seems_happy.
qstr_The_wife_is_pregnant The_wife_is_pregnant,_and_the_officer_asks_for_a_high_compensation._To_avoid_rumors_and_problems,_you_pay.
qstr_{s1}_of_the_{s2}. {s1}_of_the_{s2}.
qstr_A_messenger_approach A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._Your_proposal_has_been_accepted_and_{s10}_has_been_released_from_captivity.'
qstr_A_messenger_approache A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._Your_proposal_was_not_accepted_and_{s10}_will_remain_captive._Here_you_have_your_money_back.'
qstr_A_messenger_approaches A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_will_meet_you_and_will_follow_you_as_soon_as_possible.'
qstr_A_messenger_approaches_ A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_says_you're_not_the_one_to_give_orders.'
qstr_A_messenger_approaches_g A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_says_that_it_would_hardly_be_proper_as_you_don't_have_authority_for_it.'
qstr_A_messenger_approaches_ga A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_has_better_things_to_do_than_follow_your_orders.'
qstr_A_messenger_approaches_gal A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_is_busy_and_cannot_follow_orders_at_this_time.'
qstr_A_messenger_approaches_gall A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_will_go_to_{s10}_as_soon_as_possible.'
qstr_A_messenger_approaches_gallo A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message.:_{s9}_will_go_patrol_around_{s10}_as_soon_as_possible.'
qstr_A_messenger_approaches_gallop A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_will_go_patrol_around_{s10}_as_soon_as_possible.'
qstr_A_messenger_approaches_gallopi A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_will_go_to_besiege_{s10}_as_soon_as_possible.'
qstr_A_messenger_approaches_gallopin A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_says_you're_not_one_to_give_orders.'
qstr_A_messenger_approaches_galloping A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_says_that_would_hardly_be_proper_as_you_don't_have_authority_for_it.'
qstr_A_messenger_approaches_galloping. A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_was_busy_and_did_not_receive_me._His_men_threatened_to_kill_me_if_I_insisted.'
qstr_A_messenger_approaches_galloping._ A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_is_surprised_by_your_insult,_especially_when_there_was_no_enmity_between_you._He_says_that_he_will_ignore_it_this_time,_but_do_not_provoke_him_again.'
qstr_A_messenger_approaches_galloping._H A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_was_greatly_angered_by_your_insult,_falling_fully_under_the_provocation_of_your_challenge._He_called_his_men_to_arms,_and_I_think_he_will_advance_against_you.'
qstr_A_messenger_approaches_galloping._He A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_has_not_fallen_for_your_provocation._He_answered_to_not_waste_more_of_his_time.'
qstr_A_messenger_approaches_galloping._He_ A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_has_not_fallen_for_your_provocation,_but_he_has_retaliated_with_insults_difficult_to_repeat_but_all_very_descriptive._And_he_said_that_if_you_had_a_problem_for_which_you_had_the_courage_to_look_for_him,_he_would_love_to_teach_you_some_manners.'
qstr_A_messenger_approaches_galloping._He_s A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_was_busy_and_did_not_receive_me._However,_his_men_took_the_gift_and_divided_it_among_themselves,_threatening_to_kill_me_if_I_insisted_on_delivering_your_message.'
qstr_A_messenger_approaches_galloping._He_st A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_thanks_you_for_your_gift,_and_says_he_will_make_the_next_feast_in_your_honor.'
qstr_A_messenger_approaches_galloping._He_sto A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_took_your_gift_and_gave_it_to_his_men,_saying_it_is_the_tribute_of_a_coward._His_response_was_that_he_would_be_your_enemy_forever._Nothing_can_change_that_after_everything_that_has_happened_between_the_two_of_you.'
qstr_A_messenger_approaches_galloping._He_stop A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_is_encouraged_to_know_you_have_an_interest_in_resolving_the_differences_and_bad_relations_between_you._Although_still_there_are_many_things_to_resolve,_this_is_a_good_start,_and_he_accepts_your_gift.'
qstr_A_messenger_approaches_galloping._He_stops A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_did_not_accept_the_gift,_but_his_men_took_me_where_I_was_going._Sorry,_I_lost_the_treasure.'
qstr_A_messenger_approaches_galloping._He_stops_ A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_did_not_want_to_meet_me,_saying_he_was_busy_and_does_not_like_to_discuss_these_things_with_a_lowly_messenger.'
qstr_A_messenger_approaches_galloping._He_stops_i A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_accepts_your_alliance_proposal._From_now_on,_{s2}_is_your_ally.'
qstr_A_messenger_approaches_galloping._He_stops_in A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_accepts_your_truce_proposal._From_now_on,_{s2}_and_you_are_at_peace.'
qstr_A_messenger_approaches_galloping._He_stops_in_ A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_did_not_appear_surprised_by_your_declaration_of_war_because_you_are_scum_whom_nobody_can_trust.^^From_now_on,_you_are_at_war_with_{s2}'
qstr_A_messenger_approaches_galloping._He_stops_in_f A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_was_very_offended_by_your_desire_to_provoke_a_war_and_promises_to_send_messengers_everywhere_to_publicize_your_villainy.^^From_now_on,_you_are_at_war_with_{s2}'
qstr_A_messenger_approaches_galloping._He_stops_in_fr A_messenger_approaches,_galloping._He_stops_in_front_of_you,_takes_a_breath_and_shouts:^^'I_have_returned_with_the_answer_to_your_message._{s9}_was_very_offended_by_your_war_declaration._He_called_you_treacherous_rat_and_said_you_would_pay_dearly.^^From_now_on,_you_are_at_war_with_{s2}'
qstr_The_other_man_is_not The_other_man_is_not_very_happy_and_criticizes_you_when_you_leave,_generating_unfavorable_rumors.
qstr_Neither_man_is_happy Neither_man_is_happy_or_unhappy._You_seem_to_have_found_a_balance.
qstr_The_two_men_are_not_ The_two_men_are_not_very_happy_and_criticize_you_when_you_leave,_generating_unfavorable_rumors.
qstr_People_in_{s4}_think People_in_{s4}_think_that_you_will_not_guarantee_their_families'_protection_against_those_who_abuse_their_power_under_your_favor._Rumors_spread_that_you_are_a_bad_{reg59?lady:lord}.
qstr_People_in_{s4}_think_ People_in_{s4}_think_that_you_will_not_guarantee_their_families'_protection_because_the_messenger_will_not_be_punished._Rumors_spread_that_you_are_unjust.
qstr_People_in_{s4}_think_t People_in_{s4}_think_that_you_will_not_guarantee_their_families'_protection_because_the_messenger_will_not_be_punished,_but_at_least_their_fellow_citizen_will_not_be_punished._However,_your_men_are_not_happy_with_your_generosity_to_a_man_who_attacked_someone_under_your_protection.
qstr_People_in_{s4}_think_th People_in_{s4}_think_that_you_will_guarantee_their_families'_protection,_and_they_seem_happy._However,_you_men_are_not_happy_that_you_will_kill_their_companion.
qstr_The_local_leader_is_ The_local_leader_is_upset_with_you_and_talks_bad_about_you_to_the_elites_of_{s4}.
qstr_People_in_{s4}_are_s People_in_{s4}_are_surprised_by_your_drastic_measures,_and_everyone_seems_more_willing_to_follow_your_rules.
qstr_Farmers_in_{s4}_are_ Farmers_in_{s4}_are_concerned_about_their_daughters_as_you_favor_the_powerful_who_take_advantage_of_their_weakness.
qstr_Farmers_in_{s4}_are_r Farmers_in_{s4}_are_reassured_when_you_pay,_while_the_local_leader_is_happy_not_to_be_punished.
qstr_The_outcome_of_the_t The_outcome_of_the_trial_has_seriously_shaken_the_people_of_{s4}_and_has_called_into_question_your_authority.
qstr_Your_men_think_you_re Your_men_think_you're_a_weak_leader_who_is_easily_manipulated.
qstr_Your_men_seem_uncomf Your_men_seem_uncomfortable,_and_some_of_them_leave_you._You_should_try_to_improve_morale_of_the_rest_soon.
qstr_Your_men_seem_uncomfo Your_men_seem_uncomfortable,_but_no_one_says_a_word._It_looks_like_you_got_a_little_more_respect,_but_should_strive_to_improve_their_morale.
qstr_Your_men_seem_uncomfor Your_men_seem_uncomfortable._You_should_try_to_improve_morale_of_the_rest_soon.
qstr_Eventually_the_man_d Eventually_the_man_dies_in_torment_while_your_soldiers_try_to_force_him_to_pay_his_taxes._His_last_words_were,_'Boys,_beyond,_where_you_are,_I_am_coming.'_The_city_is_shocked_by_his_death,_and_many_people_complain_about_you_in_{s4}.
qstr_The_man_seems_calmed The_man_seems_calmed_by_your_words._You_see_in_his_eyes_an_infinite_sadness,_but_he_promises_to_pay_his_taxes_in_the_memory_of_his_boys.
qstr_Your_renown_with_you Your_renown_with_your_warriors_suffers,_as_does_your_money_bag,_but_the_people_of_{s4}_seem_happy_with_the_money_you_have_given_them.
qstr_Your_men_push_the_cr Your_men_push_the_crowd,_injuring_some._Suddenly,_the_people_turn_against_them,_causing_some_casualties_before_being_dispersed.
qstr_You_run_through_the_ You_run_through_the_back_door_while_the_crowd_calls_you_a_coward_and_miser,_even_as_they_continue_to_beg_for_money.
qstr_People_think_the_mea People_think_the_measure_is_fair_to_both.
qstr_The_tree_owner_is_no The_tree_owner_is_not_very_happy_and_criticizes_you_when_you_leave,_generating_unfavorable_rumors.
qstr_The_man_who_cut_the_ The_man_who_cut_the_trees_is_not_very_happy_and_criticizes_you_when_you_leave,_generating_unfavorable_rumors.
qstr_People_in_{s4}_are_h People_in_{s4}_are_happy_because_you_responded_to_their_needs.
qstr_People_in_{s4}_are_u People_in_{s4}_are_unhappy_with_you_because_you_don't_respond_to_their_needs.
qstr_People_in_{s4}_appre People_in_{s4}_appreciate_your_help,_but_were_expecting_more.
qstr_Although_the_local_l Although_the_local_leader_supports_your_position_in_{s4},_your_men_think_it_is_a_disgrace_to_have_the_boy_among_them.
qstr_Although_the_local_le Although_the_local_leader_pays_you_well,_your_men_think_it_is_a_disgrace_to_have_the_boy_among_them.
qstr_The_local_leader_lev The_local_leader_leverages_his_position_to_undermine_yours_in_{s4}_as_punishment_for_you_not_accepting_his_son.
qstr_During_the_night_at_ During_the_night,_at_a_fire_ceremony_and_dance,_the_girl_is_burned_as_an_offering_to_the_gods.
qstr_People_superstitious People,_superstitious,_are_angry_with_you._Some_time_later,_you_find_out_that_another_girl_was_sacrificed.
qstr_The_physician_you_se The_physician_you_send_manages_to_save_some_lives_and_prevent_the_epidemic_from_spreading_to_other_areas.
qstr_The_epidemic_wipes_o The_epidemic_wipes_out_the_population_of_the_village._Although_your_measures_prevented_anyone_from_spreading_the_disease_beyond_{s4},_many_lost_relatives_who_lived_in_the_village._The_rumor_spreads_that_you_are_a_murderer.
qstr_{s4}_is_a_Christian_ {s4}_is_a_Christian_settlement,_and_everyone_obeys_your_orders_quickly._Somehow_it_seems_that_your_prayers_are_successful_and_the_girl_and_the_child_survive.
qstr_{s4}_is_a_pagan_sett {s4}_is_a_pagan_settlement,_and_nobody_obeys_your_orders._It_seems_that_your_prayers_weren't_necessary,_for_the_girl_and_the_child_survive.
qstr_{s4}_is_a_Christian_s {s4}_is_a_Christian_settlement,_and_nobody_obeys_your_orders._It_seems_that_the_wise-woman_wasn't_necessary,_for_the_girl_and_the_child_survive.
qstr_{s4}_is_a_pagan_settl {s4}_is_a_pagan_settlement,_and_everyone_obeys_your_orders_quickly._Somehow,_it_seems_that_wise-woman's_support_let_the_girl_and_the_child_survive.
qstr_Your_men_are_happy_t Your_men_are_happy_that_you_are_concerned_about_their_welfare,_especially_when_they_make_sacrifices_for_you.
qstr_The_sum_is_enough_fo The_sum_is_enough_for_the_local_lord_to_fulfill_his_duty,_but_it_is_not_munificent._The_man_is_grateful,_but_not_happy.
qstr_Your_men_are_angry_t Your_men_are_angry_that_you_do_not_back_a_man_who_spent_his_money_to_serve_you._They_fear_that_your_stinginess_will_affect_them_next.
qstr_The_rumor_that_you_r The_rumor_that_you_refuse_to_buy_the_relic_leads_the_faithful_to_curse_your_name.
qstr_The_monk_is_removed_ The_monk_is_removed_from_your_presence,_distressed._In_{s4},_the_inhabitants_are_happy_that_you_respect_their_beliefs.
qstr_The_relic_causes_a_s The_relic_causes_a_stir_among_the_faithful,_who_flock_to_see_it_and_praise_your_name_for_its_purchase.
qstr_The_monk_is_happy_to The_monk_is_happy_to_use_the_relic_to_evangelize_the_pagans_of_{s4}._They,_on_the_other_hand,_curse_your_name.
qstr_The_rich_woman_s_hus The_rich_woman's_husband,_who_happens_to_be_a_large_landowner_in_{s4},_becomes_very_angry_with_you_and_damages_your_reputation.
qstr_The_poor_people_in_{ The_poor_people_in_{s4}_get_angry_when_you_give_the_child_to_a_rich_woman_without_making_a_sincere_determination.
qstr_Everyone_in_{s4}_thi Everyone_in_{s4}_thinks_you've_been_wise_and_just_to_find_the_mother_of_the_child_and_return_the_baby,_while_punishing_the_liar_without_being_influenced_by_her_wealth.
qstr_The_crowd_kills_the_ The_crowd_kills_the_rich_woman._The_rich_woman's_husband,_who_happens_to_be_a_large_landowner_in_{s4},_becomes_very_angry_with_you_and_damages_your_reputation.
qstr_The_poor_people_in_{s The_poor_people_in_{s4}_get_angry_when_you_give_the_child_to_a_rich_woman_without_making_a_sincere_determination._Some_disturbances_ending_in_violence_occur._During_the_fighting,_many_citizens_die_before_retiring,_but_you_also_lose_some_men.
qstr_The_people_of_{s4}_d The_people_of_{s4}_do_not_want_their_children_to_starve_for_your_tax,_and_are_openly_against_you.
qstr_The_people_of_{s4}_a The_people_of_{s4}_are_very_happy_for_your_help_in_hard_times.
qstr_The_people_of_{s4}_ar The_people_of_{s4}_are_angry_that_you_don't_care_about_their_problems.
qstr_The_people_of_{s4}_t The_people_of_{s4}_think_that_this_is_bread_for_today_and_hunger_for_tomorrow,_but_they_understand_that_these_things_happen.
qstr_The_witch_leaves_the The_witch_leaves_the_town_for_an_unknown_destination.
qstr_The_witch_appreciate The_witch_appreciates_your_confidence_and_leaves_her_old_job_to_worship_the_old_gods_openly.
qstr_The_witch_hunt_costs The_witch-hunt_costs_some_innocent_lives,_causing_unrest_among_the_population.
qstr_{s4}_is_a_Christian_se {s4}_is_a_Christian_settlement,_so_in_the_end,_your_orders_are_obeyed.
qstr_{s4}_is_a_pagan_settle {s4}_is_a_pagan_settlement,_so_there_is_much_anger_when_the_tree_is_felled.
qstr_{s4}_is_a_Christian_set {s4}_is_a_Christian_settlement,_and_the_murder_of_the_missionary_and_his_followers_shocks_the_population._They_are_terrified_of_you.
qstr_{s4}_is_a_pagan_settlem {s4}_is_a_pagan_settlement,_and_the_murder_of_the_missionary_and_his_followers_is_supported._Soon_after,_you_find_out_that_the_missionary_is_canonized_as_Saint_Cuthberh.
qstr_The_missionary_and_h The_missionary_and_his_followers_leave_{s4},_escorted_by_your_men,_without_much_fuss.
qstr_Your_men_appreciate_ Your_men_appreciate_your_concern_for_their_families.
qstr_Your_men_are_unhappy Your_men_are_unhappy_that_you_don't_take_care_of_their_widows.
qstr_Your_men_are_unhappy_ Your_men_are_unhappy_that_you_don't_take_care_of_their_widows,_but_understand_you_are_strapped_at_the_moment.
qstr_Your_men_are_upset_t Your_men_are_upset_that_you_won't_take_care_of_their_widows_if_they_are_killed.
qstr_Your_men_are_happy_to Your_men_are_happy_to_hear_that_you_care_about_their_families.
qstr_Your_men_are_very_ha Your_men_are_very_happy_that_you_protect_their_families.
qstr_Your_followers_feel_ Your_followers_feel_that_you_will_protect_them_at_any_cost,_but_the_people_in_{s4}_are_not_very_happy_with_your_decision._They_criticize_you_when_you_leave,_generating_unfavorable_rumors.
qstr_Your_followers_feel_t Your_followers_feel_that_you_do_not_protect_them_as_they_deserve_for_their_services,_but_the_people_in_{s4}_are_very_happy_with_your_decision._The_rumor_spreads_that_you_are_just.
qstr_Your_followers_feel_th Your_followers_feel_that_you_do_not_protect_them_as_they_deserve_for_their_services._The_people_in_{s4}_are_not_very_happy_with_your_decision._They_criticize_you_when_you_leave,_generating_unfavorable_rumors.
qstr_To_arms!_Some_citize To_arms!_Some_citizens_have_revolted_and_try_to_kill_you!
qstr_Your_men_charge_down Your_men_charge_down_the_streets,_using_the_sword_at_the_slightest_provocation,_avenging_their_fallen_fellows._A_bloodbath_ensues_as_the_people_of_{s4}_flee_to_their_homes_to_hide.
qstr_Your_men_are_very_an Your_men_are_very_angry_that_you_have_taken_no_action_against_the_murder_of_their_fellows._Meanwhile,_local_leaders_try_to_quell_the_hatred_against_you_in_{s4}.
qstr_Mercilessly_your_men Mercilessly_your_men_kill_anyone_that_crosses_their_way,_then_enter_the_houses,_killing_all_men_over_14_years_of_age._The_fame_of_your_cruelty_travels_as_the_wind._Fear_seizes_all_who_talk_about_you._Now_{s4}_is_pacified,_but_the_cost_has_been_very_high.
qstr_Your_men_return_with Your_men_return_with_300_peningas_and_two_survivors.
qstr_A_messenger_sent_fro A_messenger_sent_from_{s12}_arrives_and_gives_you_a_present_of_silver_and_jewelry_in_appreciation_of_your_friendship.
qstr_A_messenger_sent_from A_messenger_sent_from_{s12}_arrives_and_gives_you_a_message_with_all_kinds_of_insults_and_profanities,_{s12}_invites_you_to_go_and_look_for_him_if_you_have_guts_which_{s12}_believes_you_don't,_as_you're_a_notorious_coward.
qstr_Your_fame_grows_with Your_fame_grows_with_the_bard's_song,_but_soon_he_replaces_your_name_with_that_of_another_lord_who_pays_him.
qstr_Your_fame_grows_high Your_fame_grows_higher_with_the_bard_song.
qstr_Beggars_everywhere_b Beggars_everywhere_bless_your_name_when_you_pass_by_and_celebrate_your_generosity.
qstr_Beggars_soon_tire_of Beggars_soon_tire_of_following_you.
qstr_You_laugh_to_see_how You_laugh_to_see_how_sprightly_these_broken-down_old_fellows_can_actually_run.
qstr_The_young_noble_pref The_young_noble_prefers_to_flee_rather_than_duel_with_you!
qstr_The_word_spreads_tha The_word_spreads_that_it_is_easy_to_insult_you_and_diminish_your_reputation!
qstr_The_woman_and_her_hu The_woman_and_her_husband_are_happy_for_your_generosity!
qstr_Other_men_join_in_an Other_men_join_in_and_also_leave_to_help_their_families.
qstr_The_rumors_hurt_your The_rumors_hurt_your_fame_a_little,_but_soon_the_merchant_gets_tired_of_your_lack_of_interest.
qstr_The_man_accepts_the_ The_man_accepts_the_money_and_stops_circulating_rumors.
qstr_A_new_rumor_that_you A_new_rumor_that_you're_a_murderer_and_a_tyrant_spreads_among_the_population_after_the_death_of_the_merchant!
qstr_The_animal_runs_free The_animal_runs_free_without_looking_back.
qstr_You_increase_your_me You_increase_your_meat_reserves.
qstr_Three_veterans_join_ Three_veterans_join_your_army.
qstr_The_veterans_leave_d The_veterans_leave,_defaming_your_name.
qstr_Among_the_bodies_you Among_the_bodies,_your_men_find_1000_peningas.
qstr_A_group_of_six_women A_group_of_six_women_joins_your_army.
qstr_The_crane_was_a_symb The_crane_was_a_symbol_of_war_for_the_ancient_Celts._Your_men_are_impressed_by_your_knowledge_and_grateful_that_the_gods_are_with_them.
qstr_Your_men_pass_by_the Your_men_pass_by_the_bird_without_noticing_it.
qstr_The_crane_was_a_symbo The_crane_was_a_symbol_of_war_for_the_ancient_Celts._Your_ignorance_troubles_your_men,_and_they_begin_to_doubt_your_fitness_to_lead.
qstr_Your_men_resent_the_ Your_men_resent_the_punishment,_but_recognize_your_authority._The_action_sets_a_precedent_for_discipline.
qstr_Offended_by_your_con Offended_by_your_contempt_for_his_request,_the_farmer_leaves_and_spreads_the_claim_of_your_villainy.
qstr_You_spend_time_with_ You_spend_time_with_the_priest's_wife,_and_when_her_husband_returns,_you_escape_to_the_stable_without_being_seen!
qstr_Three_Hirdmenn_join_ Three_Hirdmenn_join_your_army!
qstr_The_man_s_eyes_sadly The_man's_eyes_sadly_follow_you_while_you_go_on_your_way.
qstr_You_feel_good_for_hel You_feel_good_for_helping_him.
qstr_When_you_give_him_ar When_you_give_him_armor_and_food,_he_proves_to_be_a_mighty_warrior.
qstr_The_bandits_turn_awa The_bandits_turn_away,_greatly_disappointed.
qstr_After_two_hours_the_ After_two_hours,_the_bandits_return_with_some_loot_and_someone's_head...
qstr_On_the_remains_of_a_ On_the_remains_of_a_corpse_are_a_sword_and_armor_of_a_king._They_turn_out_to_be_magnificent_weapons,_once_the_rust_is_removed_to_reveal_their_high_quality._Now_they_are_yours_--_if_you_do_not_mind_the_bad_luck_that_attends_grave_robbers.
qstr_Someday_perhaps_you_ Someday,_perhaps,_you_might_have_the_honor_of_being_buried_like_a_king.
qstr_Meat_is_a_welcome_ad Meat_is_a_welcome_addition_to_the_diet_of_your_men.
qstr_Two_berserkir_join_y Two_berserkir_join_your_army!
