str_yes|Evet.
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_should_last_for_at_least_another_day_|{s12}Halihazırda {s3} sahipliğinde, {s4} içinde, en az bir gün daha devam edecek bir ziyafet var.
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_has_only_just_begun_|{s12}Halihazırda {s3} sahipliğinde, {s4} içinde, daha yeni başlamış bir ziyafet var.
str_not_at_this_time_no|Şu anda mı, hayır.
str_s12the_great_lords_bring_their_daughters_and_sisters_to_these_occasions_to_see_and_be_seen_so_they_represent_an_excellent_opportunity_to_make_a_ladys_acquaintance|{s12}büyük lordar görsünler ve görünsünler diye, kızlarını ve kızkardeşlerini bu kutlamalara getiriyorlar, böylece onlar bir leydiyle tanışmak için mükemmel bir fırsat bulmuş oluyorlar.
str_you_will_not_be_disappointed_sirmadam_you_will_not_find_better_warriors_in_all_calradia|Pişman olmaycaksınız {efendim/hanımım}. Buralarda bizden iyi savaşçılar bulamazsınız.
str_your_excellency|ekselansları
str_s10_and_s11|{s10} ve {s11}
str_your_loyal_subjects|sadık adamlarınız
str_loyal_subjects_of_s10|{s10} sadık adamları
str_the|
str_we|biz
str_track_down_s7_and_defeat_him_defusing_calls_for_war_within_the_s11|{s7}, {s11} içinde savaş çağrıları yapıyor, onu bulup bozguna uğratmalısın.
str_track_down_the_s9_who_attacked_travellers_near_s8_then_report_back_to_the_town|{s8} civarında seyyahlara saldıran {s9} ile ilgilenmen gerekiyor, onu bulup bozguna uğrat ve şehre dönüp rapor ver.
str_do_you_wish_to_award_it_to_one_of_your_vassals|Derebeylerinden birini onunla ödüllendirmek ister misin?
str_who_do_you_wish_to_give_it_to|Onu kime vermek istersin?
str_sire_my_lady_we_have_taken_s1_s2|Efendim, {s1}, tarafımızdan ele geçirildi. {s2}
str_s12i_want_to_have_s1_for_myself|{s12}{s1} benim olsun istiyorum. {s2}
str_fiefs_s0|(topraklar: {s0})
str_production_setting_buy_from_market|Pazardan hammadde satın alıyoruz.
str_production_setting_buy_from_inventory|Envanterimizde sadece hammadde var.
str_production_setting_produce_to_inventory|Hasılatımızı envantere yerleştiriyoruz.
str_production_setting_produce_to_market|Hasılatımızı direk satıyoruz.
str_feast_quest_expired|Planladığın ziyafeti veremedin. Büyük ihtimalle seferberlik veya diğer şeyler araya girmiştir. İstersen ziyafet vermeyi tekrar deneyebilirsin.
str_whereabouts_unknown|Nerede olduğu bilinmiyor.
str_mulberry_groves|dönümlerce dut bağı
str_olive_groves|dönümlerce zeytin bağı
str_acres_flax|dönümlerce keten tarlası
str_enterprise_enemy_realm|Efendim, bu ülkenin düşmanı değilsiniz. Buradan toprak almanıza müsaade edemeyiz.
str_you_intend_to_denounce_s14_to_s13_on_behalf_of_s12|{s14} kişisinin {s12} ile konuşma şekli hoşuna gitmiyor ve {s13} ile görüşüp, şikayet etmeyi düşünüyorsun.
str_you_intend_to_denounce_s14_to_his_face_on_behalf_of_s14|{s12}'{.nin} kışartmasıyla, {s14}{.ne} yüzüne karşı hakaret etmeye niyetlendin.
str_you_intend_to_bring_gift_for_s14|{s12} için kadife ve kürk getirmeyi düşünüyorsun, böylece o {s14} ile aralarını düzeltmeyi nedeyebilir.
str_we_will_gather_the_army_but_not_ride_until_we_have_an_objective|Ordumuzu toplayacağız, ama bir hedefimiz olmadan sefere çıkmıyoruz.
str_we_shall_lay_siege_to_an_easy_fortress_to_capture|Gücümüzü onların tehlikeye en açık kalelerine yönelteceğiz.
str_we_shall_strike_at_the_heart_of_our_foe_and_seize_the_fortress_of_s14|Onlara büyük bir zarar verecek, güçlü bir saldırı yapma niyetindeyiz.
str_we_shall_take_the_fortress_of_s14_which_appears_easily_defensible|Kolayca savunabileceğimiz bir kale almayı planlıyoruz.
str_we_shall_cut_a_fiery_trail_through_their_richest_lands_to_draw_them_out_to_battle|Savaştan çekilmeleri için en zengin topraklarından doğru ardımızda ateşli bir iz bırakıyoruz.
str_strategy_criticism_rash|Bana göre bu strateji çok düşüncesizce bir strateji ve kuvvetlerimizi gereksiz yere tehlikeye sokacak.
str_strategy_criticism_cautious|Bana göre bu strateji fazla tedbirli ve adamlarımız hiçbir başarı elde edemeden sıknıtıdan patlayacaklar.
str_tavernkeeper_invalid_quest| bir tür işle uğraşıyormuş, ama detayları hatırlamakta zorlanıyorum.
str_faction_title_male_player|Dominus {s0}
str_faction_title_male_1|{s0} gelir
str_faction_title_male_2|{s0} gelir
str_faction_title_male_3|{s0} Dux
str_faction_title_male_4|{s0} gelir
str_faction_title_male_5|{s0} gelir
str_faction_title_male_6|{s0} gelir
str_faction_title_female_player|Domina {s0}
str_faction_title_female_1|Comitessa {s0}
str_faction_title_female_2|Comitessa {s0}
str_faction_title_female_3|{s0} Ducessa
str_faction_title_female_4|Comitessa {s0}
str_faction_title_female_5|Comitessa {s0}
str_faction_title_female_6|Comitessa {s0}
str_name_kingdom_text|Krallığınızın ismi ne olacak? 
str_default_kingdom_name|{s0} Krallığı
str_lord_defects_ordinary|araf Değiştiriyor^^{s1}, {s3} ile olan ittifakından feragat ediyor ve {s2} tarafına katılıyor
str_lord_defects_player|Lord Taraf Değiştiriyor^^{s1}, {s3} ile olan ittifakından feragat etti ve senin krallığın katılmayı düşünüyor. Malikanene girip yemini kabul edebilirsin, tabii istersen.
str_lord_defects_player_faction|Lord Taraf Değiştiriyor^^{s1}, {s3} ile olan ittifakından feragat etti ve senin krallığın katılmayı düşünüyor. Malikanene girip yemini kabul edebilirsin, tabii istersen.
str_lord_indicted_player_faction|{s6} tarafından verilen emirle, {s4} vatan haini ilan edildi. Lord onun tüm mallarına el koydu ve canı pahasına kaçması için salıverildi ve senin krallığına katılmak istiyor. Şayet görmek isterseniz, sadakatini sunmak için sizi malikanenizde bekliyor.
str_lord_indicted_dialog_approach|Selamlar, {lordum/leydim}. {s10} tarafından ne kadar kötü muamele görmeye maruz bırakıldığımı duymuşsunuzdur. Derebeylerinize adil davraşınızla nam salmış birisi olarak, beni yanınıza kabul ederseniz, kendimi sizin derebeyiniz olmaya adamaktan onur duyarım.
str_lord_indicted_dialog_approach_yes|Ve ben de yeminini kabul etmekten onur duyarım.
str_lord_indicted_dialog_approach_no|Üzgünüm. Senin hizmetine ihtiyacım yok.
str_lord_indicted_dialog_rejected|Gerçekten mi? Peki, belki de namınız yanıltıcıdır. Size iyi günler, {lordum/leydim} – Gidip, yeteneklerime sizin olduğunuzdan daha minnettar olacak bir hükümdar arayım.
str__has_been_worried_about_bandits_establishing_a_hideout_near_his_home| bu bölgede bazı haydutların saklanacak bi yer inşa ediyor olmalarından endişeleniliyor.
str_bandit_lair_quest_description|{s9}, {s11} için sıkıntı oluşturuyor. Onu bul ve ortadan kaldır.
str_bandit_hideout_preattack|Saklandıkları yere ulaştın. {s4} henüz seni farketmişe benzemiyor ve hala da farkedilmeden geri dönebilirsin. Oraya ulaşma zorluğu -- {s5} – saldırabilecek yalnızca bir avuç askerin olduğu ve saldırmaları durumunda atlarını geri getiremeyecekleri anlamına geliyor. İlk saldırın başarısız olursa, {s4}, kolayca kaçışlarını gerçekleştirmiş ve dağılmış olacaklar. Sığınağa saldırmak mı istiyorsun, yoksa başka bir fırsat için mi bekleyeceksin?
str_bandit_hideout_failure|{s4} saldırını geri püskürttü. Toparlanıyorsunuz ve onlara bir kez daha çevredeki kırsal bölgelere yayılıp, zülmetmeleri için fırsat vermiş oluyorsunuz, şüphesiz burada seyyahlar için tehdit oluşturmaya devam edecekler.
str_bandit_hideout_success|Kararlı saldırın sayesinde kaçışlarının engellenmesiyle,{s4} birer birer düştüler. Saklandıkları yer ve hasta ruhlu amaçları yok oldu.
str_bandit_approach_defile|dar bir geçitten aşağı
str_bandit_approach_swamp|çam bataklığının içinden
str_bandit_approach_thickets|yoğun çalılık dizilerinin içinden
str_bandit_approach_cliffs|uçurumun kenarındaki patikadan yukarı
str_bandit_approach_cove|uçurumun kenarındaki dere yatağından aşağı
str_political_explanation_lord_lacks_center|Bu durumda toprak, hiç bir mülkü ve geliri olamayan bir lorda gitmeli.
str_political_explanation_lord_took_center|Bu durumda kale, onu ele geçirene gitmeli.
str_political_explanation_most_deserving_friend|Bu durumda, yakın dostlarıma ve yoldaşlarıma baktım, ve toprağı onu en fazla hakedene vermeye karar verdim.
str_political_explanation_most_deserving_in_faction|Bu durumda krallığın tüm lordlarına baktım ve toprağı onu en çok hak edene vermeye karar verdim. 
str_political_explanation_self|Başka düzgün aday olmadığından, kendimi aday gösteriyorum.
str_political_explanation_marshal|Soylularımız arasından en cesur, benim en çok güvendiğim ve hiçbir şeklide adına leke sürülmemiş olanını seçiyorum.
str_prisoner_at_large|geniş, esir alanlar savaşta öldüğüne göre, arkadaşın birazdan ortaya çıkar sanırım.
str_quick_battle_scene_1|Çiftlik Evi
str_quick_battle_scene_2|Galler Köyü
str_quick_battle_scene_3|Tulbuk Geçidi
str_quick_battle_scene_4|Tom Tun Burh
str_quick_battle_scene_5|Skagerrak
str_quick_battle_scene_6|Kuzey Denizi
str_quick_battle_scene_7|Kennemer Limanı
str_quick_battle_scene_8|Savaş Sahnesi 9
str_quick_battle_scene_9|Battle Sahne 7
str_quick_battle_scene_10|Battle Sahne 8
str_quick_battle_scene_11|Battle Sahne 9
str_quick_battle_troop_1|Bodo, Asturias kralının uşağı, kuzey topraklarında gizli bir görevde.
str_quick_battle_troop_2|Sven, Sigurd "Yılan Göz" hizmetinde, geminin ön kısmında yol alır. Zalimliği ve acımasızlığı ile herkesçe bilinen bir üne sahiptir, köleleri çalıştırır ve Friese'den Alba'ya herkesten koruma parası ister.
str_quick_battle_troop_3|İrlanda'daki küçük krallıkların en büyüklerinden Cerball mac Dunlainge, İrlandalılarla Vikingleri birbirine düşürrek Munster'den bağımsızlığını elde etti. Şimdi Waterford'daki Viking yerleşim yerinden zenginlik ve asker sahibi. Yakında İrlanda'nın kralı olur mu?
str_quick_battle_troop_4|Rhodri Mawr şampiyonu Artorius, Galler'in Britonlarını birleştirmek için bir kez daha şefine yardım ediyor. Bu bir genişleme projesinden çok eski düşmanları Anglolar ve Saksonlara ve yeni tehditleri Vikinglere karşı hayatta kalma çabası.
str_quick_battle_troop_5|839'da Pikt ve Dal Riata hanedanlıklarının Vikingler tarafından bozguna uğratılmasından sonra Alba'yı tekrar birleştiren kişi Cinead'dır. Eski binicilik geleneğini bu topraklarda devam ettiren ender insanlardan biridir. 
str_quick_battle_troop_6|Oswald Sakson bölgesinde, geniş bir grup derebeyine toprak kiralayan kişidir. Görkem krallara gitse de Batı Seaxe'i gerçekte koruyan toprak memurlarıdır.
str_quick_battle_troop_7|Brynhild, Germen kadın savaşçıları arasında olan, kendilerine Skjaldmo dedikleri tutucu bir gelenekten gelmektedir. Finlandiya'nın uzaklarından onun bir büyücünün güçlerini kullandığı dedikodusu yayıldığından yoldaşları onu istemeyerek aralarına kabul etmektedir.
str_quick_battle_troop_cam|AI oyuncunun savaşı bitirmesini izle. Kamera standart hareket ve dönme kontrolü kullanır, artırmak için F, azaltmak için C tuşunu, zoom için +/- , araziyi izlemek için Q tuşunu, oyun hızı için sayı tuş takımını, kamera hızı için fare tekerleğini, dönüşler için ok tuşlarını, y-ekseninde geçiş için Y tuşunu ve yatay kamera harekketini değiştirmek için R tuşunu kullanabilirsiniz.
str_strategy_cam|Bu kamera oyuncuyu izler. F tuşu ile mesafeyi uzatabilir ya da V tuşu ile kısaltabilirsiniz. Zoom için +/- tuşları, oyun hızı için sayı tuş takımı ve kamera hızı için fare tekerleğini kullanabilirsiniz.
str_tutorial_training_ground_intro_message|Talim alanını dolaşın ve farklı dövüş biçimlerini deneyimlemek için savaşçılarla konuşun. Etrafı dolaşmak için ASDW tuşlarını kullanabilirsiniz. Bir karakterle konuşmak için ekranda adı görünene kadar ona yaklaşın ve sonra F tuşuna basın. F tuşunu ayrıca eşyaları tutmak için, kapıları açmak için ve neslerle etkileşmek için kullanabilirsiniz. İstediğiniz zaman talimden çıkmak için Tab tuşuna basın.
str_tutorial_doccinga_ground_intro_message|Doccinga, Friese kıyısında küçük bir balıkçı köyüdür. Burada insanlar çalışkandır ve eski büyücünün ölümünden sonra yabancılar artık eskisi kadar gelmese de hala zengindir. Köye girdiğinizde etrafınızda bir çok aktivite görebilirsiniz. Meşgul köylülerden başka bazı savaşçılar halkın arasına karışıp savaş sanatlarını icra ederler... ya da belki denizler ötesi bir maceraya hazırlanırlar...Belki savaşçılara farklı dövüş stillerini deneyimlemeleri için rica edebilirsiniz? (Unutmayın: Etrafı dolaşmak için ASDW tuşlarını kullanabilirsiniz. Bir karakterle konuşmak için ekranda adı görünene kadar ona yaklaşın ve sonra F tuşuna basın. F tuşunu ayrıca eşyaları tutmak için, kapıları açmak için ve neslerle etkileşmek için kullanabilirsiniz. İstediğiniz zaman Doccinga'dan çıkmak için Tab tuşuna basın..)
str_map_basic|Harita
str_game_type_basic|Oyun Tipi
str_battle|Savaş
str_siege_offense|Kuşatma (Saldırı)
str_siege_defense|Kuşatma (Savunma)
str_character|Karakter
str_biography|Özgeçmiş
str_player|Oyuncu
str_enemy|Düşman 
str_faction|Kültür
str_army_composition|Ordu Düzeni
str_army_size|Ordu Büyüklüğü
str_reg0_men|{reg0} kişi
str_start|Başla
str_i_need_to_raise_some_men_before_attempting_anything_else|Başka bir şeye kalkışmadan önce biraz adam toplamalıyım
str_we_are_currently_at_peace|şu anda barış halindeyiz
str_the_marshalship|mareşallik
str_you|sen
str_myself|kendim
str_my_friend_s15|dostum {s15}
str_custom_battle|Özel Savaş
str_comment_intro_liege_affiliated_to_player|Duyduğuma göre benim tacı hakettiğimden şüphe duyuyormuşsun. Söylemeye bile gerek yok, bu haber hoşuma gitmedi. Ancak yine de konuşabiliriz.
str_s21_the_s8_declared_war_out_of_personal_enmity|{s21} {s8} kişisel husumetten savaş ilan etti
str_s21_the_s8_declared_war_in_response_to_border_provocations|{s21} {s8} sınır ihlalinden dolayı savaş ilan etti
str_s21_the_s8_declared_war_to_curb_the_other_realms_power|{s21} {s8} diğer krallıkları zayıflatmak için savaş ilan etti
str_s21_the_s8_declared_war_to_regain_lost_territory|{s21} {s8} kaybedilen toprakları geri kazanmak adına savaş ilan etti
str_we_are_conducting_recce|Öncelikle alanı kolaçan edip, daha sonra ne yapacağımıza karar veririz.
str_center_party_not_active|bizim hedefimiz değil, çünkü alana sahip bir liderimiz yok.
str_center_is_friendly|bizim düşmanımız değil.
str_center_is_already_besieged|zaten kuşatma altında.
str_center_is_looted_or_raided_already|çoktan talan edildi.
str_center_marshal_does_not_want_to_attack_innocents|,saldırı durumunda en çok zarar görecek olan, yerel halkın ikametinde.
str_center_we_have_already_committed_too_much_time_to_our_present_siege_to_move_elsewhere|zaten saldırı altında, bu yüzden burayı terk etmek bir hata olur.
str_center_we_are_already_here_we_should_at_least_loot_the_village|ele geçirilmek üzere, erzaklarına el koyup dinlenmeye geçebiliriz.
str_center_far_away_we_can_reconnoiter_but_will_delay_decision_until_we_get_close|KULLANILMIYOR
str_center_far_away_our_cautious_marshal_does_not_wish_to_reconnoiter|keşif için bile çok uzakta.
str_center_far_away_even_for_our_aggressive_marshal_to_reconnoiter|keşif için bile çok uzakta.
str_center_far_away_reason|{s6} topraklarımıza {s5}{.den} daha uzak, bu yüzden orayı ele geçirdikten sonra muhafaza etmemiz daha zor olacaktır.
str_center_closer_but_this_is_not_enought|{s6} sınırlarımıza {s5}{.den} daha yakın, fakat diğer sebeplerden dolayı şimdilik {s6}{.e} saldırmayacağız.
str_center_protected_by_enemy_army_aggressive|,bizim ordumuzdan daha güçlü olduğuna inandığımız, düşman kuvvetleri tarafından korunuyor.
str_center_protected_by_enemy_army_cautious|, çarpıştığımızda zafer beklentimizin bile olmayacağı, bizden daha güçlü bir düşman ordusu tarafından korunuyor.
str_center_cautious_marshal_believes_center_too_difficult_to_capture|kanlı ve riskli bir kuşatma gerektirir.
str_center_even_aggressive_marshal_believes_center_too_difficult_to_capture|ele geçirilemeyecek kadar ağır şekilde korunuyor.
str_center_value_outweighed_by_difficulty_of_capture|saldırmaya değer durumda.
str_center_value_justifies_the_difficulty_of_capture|ele geçirilebilir ve saldırmaya değer durumda.
str_center_is_indefensible|savunabilmek için diğer kalelerimize çok uzak.
str_we_are_waiting_for_selection_of_marshal|Mareşal seçimini bekliyoruz
str_best_to_attack_the_enemy_lands|Kuvvetlerimizin boyutlarını düşünecek olursak, en iyi yaklaşımımızın düşman topraklarına saldırmamız olacağına inanıyoruz.
str_we_believe_the_fortress_will_be_worth_the_effort_to_take_it|İnanıyoruz ki bu kale, harcadığımız çabalara değer.
str_we_will_gather_to_defend_the_beleaguered_fortress|Kuşatma altındaki kalemizi savunmak için toplanacağız
str_the_enemy_temporarily_has_the_field|Düşman geçici olarak o toprağa sahip oldu ve biz fırtına dinene kadar sığınacak bir yer bulmalıyız.
str_center_has_not_been_scouted|henüz bizim tarafımızdan araştırılmadı ama oraya yaklaşınca ne yapmamız gerektiğine karar verebiliriz.
str_we_have_assembled_some_vassals|Bazı derebeylerini topladık, ama düşman bölgesine girmeden önce biraz daha bekleyeceğiz.
str_we_are_waiting_here_for_vassals|Derebeylerinin bize katılmasını bekliyoruz.
str_we_are_travelling_to_s11_for_vassals|{s11} yönüne doğru yol alıyoruz, dolayısıyla akınımıza başlamadan önce derebeyleri bize daha kolay katılabilirler.
str_center_strength_not_scouted|Orayı henüz araştırmadık, yani ne kadar iyi savunulduğunu bilmiyoruz
str_center_strength_strongly_defended|İyi savunulduğuna inanıyoruz
str_center_strength_moderately_defended|Orta düzeyde savunulduğuna inanıyoruz
str_center_strength_weakly_defended|Kötü savunulduğuna inanıyoruz
str_center_distant_from_concentration|, yerini tespit etmiş olduğumuz ordu, bize ana düşman ordusundan daha yakın. Onlar karşılık verene kadar saldırılıp, yokedilebilir
str_plus|+
str_minus|-
str_tutorial_training_ground_warning_no_weapon|Hey, bunu denemeden önce bir silaha ihtiyacın var. Orada birkaç yedek silah olması lazım. Git ve birini al.
str_tutorial_training_ground_warning_shield|İlk önce kalkanını indirmen gerek. Kalkanı sırtına almak için fare tekerleğini aşağıya kaydır.
str_tutorial_training_ground_warning_melee_with_parry|Bu talim için bir yakın dövüş silahı kuşanman gerek.
str_tutorial_training_ground_warning_melee|Bir silahı kuşanmak için fare tekerleğini yukarı kaydırın. Tekerleği yukarı kaydırarak sonraki silahınızı kuşanırken, tekerleği aşağıya kaydırarak da sonraki kalkanınızı kuşanırsınız.
str_tutorial_training_ground_attack_training|Başarılı saldırı sayısı: {reg0} / 5^Başarısız saldırı sayısı: {reg1}^{s0}
str_tutorial_training_ground_attack_training_down|Saplama hamlesi yap! (Fareyi sol tuşuna basılı tutarken aşağıya doğru çek)
str_tutorial_training_ground_attack_training_up|Yukarıdan saldırı yap! (Fareyi yukarı iterken sol tuşunu basılı tut)
str_tutorial_training_ground_attack_training_left|Soldan saldırı yap! (Fareyi sola doğru iterken sol tuşunu basılı tut)
str_tutorial_training_ground_attack_training_right|Sağdan saldırı yap! (Fareyi sağa doğru iterken sol tuşunu basılı tut)
str_tutorial_training_ground_parry_training|Başarılı savuşturma sayısı: {reg0} / 5
str_tutorial_training_ground_chamber_training|Başarılı çember blok sayısı: {reg0} / 5
str_tutorial_training_ground_archer_training|İyi vuruş sayısı: {reg0} / 3^{s0}
str_tutorial_training_ground_ammo_refill|Eğitim için okların tekrar doldurulur.
str_tutorial_training_ground_archer_text_1|{s0} konumuna yaklaş ve almak için F tuşuna bas.
str_tutorial_training_ground_archer_text_2|Şimdi hedefleri vur.
str_tutorial_training_ground_archer_text_3|Hedefleme işareti senin isabetini gösterir. İşaret en küçük halini alana kadar farenin sol tuşunu basılı tut. İşaret en küçük konumundayken farenin tuşunu serbest bırak. Eğer çok zaman kaybedersen işaret tekrar genişleyecektir..
str_tutorial_training_ground_archer_text_4|Birinci şahıs açısına geçmek için R tuşuna bas. Mesafeli silahları kullanırken birinci şahıs.
str_tutorial_training_ground_archer_text_5|Bütün hedefleri vurdun. Şimdi tekrar eğitmenle konuş.
str_tutorial_training_ground_horseman_text_1|{s0} konumuna git ve F tuşuna basarak al.
str_tutorial_training_ground_horseman_text_2|Ata yaklaş ve F tuşuna basarak bin.
str_tutorial_training_ground_horseman_text_3|Geçiş noktasına doğru git.
str_tutorial_training_ground_horseman_text_4|Tepesinde bir ok olan bir sıradaki kuklaya vur!
str_tutorial_training_ground_horseman_text_5|Tepesinde bir ok olan okçuluk hedefini vur!
str_tutorial_training_ground_horseman_text_6|Talimi başarıyla tamamladım. Şimdi git ve eğitmenle görüş.
str_the_great_lords_of_your_kingdom_plan_to_gather_at_your_hall_in_s10_for_a_feast|Krallığının büyük lordları bir şölen için {s10} şehrine gelmeyi planlıyorlar
str_your_previous_court_some_time_ago|Bir önceki merkez
str_awaiting_the_capture_of_a_fortress_which_can_serve_as_your_court|konağın olarak hizmet görecek bir kalenin fethini bekliyor.
str_but_if_this_goes_badly|Tavsiyene değer veriyorum. Ancak işler kötü giderse seni sorumlu tutarım.
str_i_realize_that_you_are_on_good_terms_with_s4_but_we_ask_you_to_do_this_for_the_good_of_the_realm|{s4} ile iyi ilişkiler içinde olduğunun farkındayım, ama bu ülke için en iyisi bu
str_i_realize_that_you_are_on_good_terms_with_s4_but_the_blow_will_hurt_him_more|{s4} ile iyi ilişkiler içinde olduğunun farkındayım – yani bunun anlamı bundan sonraki darben onu çok daha sarsacak!
str_killed_bandit_at_alley_fight|Tüccarla birlikte yakındaki evine gittiniz. Kapı eşiğinde bir süre daha durup sokağı kolladıktan ve izlenmediğinize emin olduktan sonra kapıyı kapatıp konuşmak üzere yanına geldi...
str_wounded_by_bandit_at_alley_fight|Devrildin. Ama bilincini kaybetmeden önce bağırışlar ve aceleci ayak sesleri işitiyorsun... Uyandığında kendini bir odada buluyorsun, güçsüz ama en azından canlı.
str_cannot_leave_now|Şu anda ayrılamam.
str_press_tab_to_exit_from_town|Çıkmak için Tab tuşuna bas. Oyun içinde herhangi bir mekandan hızlıca çıkmak için Tab tuşuna basabilirsin.
str_find_the_lair_near_s9_and_free_the_brother_of_the_prominent_s10_merchant|{s9} yakınlarındaki çapulcu inini bul {s10}{.nin} kardeşini kurtar.
str_please_sir_my_lady_go_find_some_volunteers_i_do_not_know_how_much_time_we_have|Sana olan güvenimi boşa çıkarmak istemiyorsan acele et. Git birkaç gönüllü bul. Ne kadar zamanımız kaldığını bilmiyorum.
str_you_need_more_men_sir_my_lady|Bak, daha fazla adam gerekli. Şu anda grubunda sadece {reg0} adamın var. Eğer çok az adamla saldırırsan, haydutlardan kardeşimi kurtarayım derken kendin da tutsak olursun veya orada can verirsin. Böyle bir riski almak istemeyiz tabii ki. Git birkaç köyden daha gönüllü topla, yanındaki adam sayını arttır. Sonra da kardeşimi kurtarmak için yola koyulursun.
str_good_you_have_enough_men|Güzel, güzel. İyi iş çıkardın. Yeterince adamın var. Şimdi git o soyguncuları tepele ki sana saklandıkları inin yerini ötsünler.
str_do_not_waste_time_go_and_learn_where_my_brother_is|Lütfen {beyim/hanımım} burada bekleyerek zaman harcama. Git ve kardeşimi nerede sakladıklarını öğren.
str_start_up_quest_message_1|{s9} bana sorularıma {s1}{.de} yanıt bulabileceğimi söyledi. Orada köyün yaşlısı Thonkrik'e sorabilirim.
str_start_up_quest_message_2|Thonkrik bana Doccinga yakınlarındaki Kennemer beyinin Boğa Boyunlu Sven'in nerede olduğunu bilebileceğini söyledi.
str_start_up_quest_message_3|Tüccarın kardeşini hırsızın {s9} yakınında bulunan saklanma yerinden kurtar.
str_start_up_first_quest|İlk görevini aldın. 'Q' tuşuna basarak görevlerin hakkında bilgi edinebilirsin.
str_reason_1|Halihazirdaki hedefimiz daha önemli.
str_reason_2|{s8}{.e} yapılacak bir saldırı ülkemiz için daha büyük tehdid oluşturuyor.
str_reason_3|Bizce {s8} daha büyük bir tehdit ile karşı karşıya
str_reason_4|Bölgedeki düşman kuvvetleri yüzünden oluyor olabilir. [placeholder: {reg4} vs {reg5}
str_reason_5|Emin değilim.
str_reason_6|Savunmanın ne kadar kuvvetli olduğunu bilemiyoruz.
str_reason_7|Kuvvetli bir savunma olduğuna inanıyoruz.
str_reason_8|Ortalama bir savunma olduğuna inanıyoruz.
str_reason_9|Zayıf bir savunma olduğuna inanıyoruz.
str_has_decided_that_an_attack_on_|saldırmayı seçtiği yer
str_this_would_be_better_worth_the_effort|Savunanların tahmini sayısı, mesafe ve değeri göze alındığında bu zahmete daha çok değecek gibi görünüyor.
str_has_decided_to_defend_|savunmayı seçtiği yer 
str_before_going_offensive_we_should_protect_our_lands_if_there_is_any_threat_so_this_can_be_reason_marshal_choosed_defending_s4|Saldırıya geçmeden önce herhangi bir tehdit durumu var ise topraklarımızı korumalıyız. Mareşalin {s4} bölgesini koruma kararının sebebi bu olabilir.h
str_are_you_all_right|Ah – hala uyanıksın. Hala yürüyebildiğini görmek güzel. Geldiğimiz için şanslısın yabancı! Bazı tanrılar sana göz kulak olmuş. Seni buraya getirdiklerinde canlıdan çok bir ölüydün. 
str_you_are_awake|Ah – hala uyanıksın. Hala yürüyebildiğini görmek güzel. Geldiğimiz için şanslısın. Arbede seslerini duyup olay yerine gelmeden az önce nöbetçiyle konuşuyordum. Sen kendini kaybetmeden önce oraya gelemediysek bile senin gırtlağını kesmelerini önledik... Şimdi... Belki bana faydan dokunabilir...
str_save_town_from_bandits|{s9} çapulculardan kurtarılmalı.
str_you_fought_well_at_town_fight_survived|Hah! Harika – Önünde en az üç adamın devrildiğini gördüm! Bu şekilde dövüşmeye devam edersen epey nam salacağa benziyorsun. 
str_you_fought_normal_at_town_fight_survived|Çok güzel! Duyduğuma göre bu serserilerden bir iki tanesini sen indirmişsin ve hala ayaktasın. Bir kapışmada bundan daha iyisini isteyemezsin...
str_you_fought_bad_at_town_fight_survived|Düşman kaçıp dağıldı ve sen hala ayaktasın. En nihayetinde bir kapışmada önemli olan budur.
str_you_fought_well_at_town_fight|Demek uyandın! Orada epey hırpalandın. Ama havadisler iyi! Onları yendik – ve seni aşağıya almadan önce onlara epey zarar verdin. Eğer burada olmasaydın durum çok daha kötü olabilirdi. Sana müteşekkiriz...
str_you_wounded_at_town_fight|Oh, yaşıyorsun! İçim rahatladı. Orada epey hırpalandın delikanlı. Aralarından hiç indirdiğin oldu mu bilemiyorum tabi ama geri kalanımız onların icabına baktık. Bakalım şimdi seni tedavi edebilecekmiyiz.... 
str_you_fought_well_at_town_fight_survived_answer|Her kabadayı {playername} isminden korkmayı öğrensin!
str_you_fought_normal_at_town_fight_survived_answer|Kendi payıma düşeni yaptığım için mutluyum...
str_you_fought_bad_at_town_fight_survived_answer|Aslında birisini tam indiriyordum ama kan yüzünden kaydım işte...
str_you_fought_well_at_town_fight_answer|İyi madem. Sanırım iyi bir dava uğruna birkaç darbeyi kaldırabilirim.
str_you_wounded_at_town_fight_answer|Doğru. Sanırım daha dikkatli olmalıyım.
str_unfortunately_reg0_civilians_wounded_during_fight_more|Maalesef, {reg0} kadar adamım yaralandı. Gidip bir kontrol etsem iyi olacak.
str_unfortunately_reg0_civilians_wounded_during_fight|Maalesef adamlarımdan biri fena hırpalandı. Gidip durumuna baksam iyi olur.
str_also_one_another_good_news_is_any_civilians_did_not_wounded_during_fight|Ayrıca bizim tarafta kimse ciddi şekilde yaralanmadı. Bu iyi bir haber
