qstr_{reg1}.0|{reg1}.0
qstr_Note_Bodo:_you_chose|Not Bodo: Bodo'ya sadık olmayı ve çiftliğe karşılık onu Sigurd'a teslim etmemeyi seçtin.
qstr_Note_Bodo:_you_chose_|Not Bodo: Annenle takas için Bodo'yu {s11}{.e} götürmeyi seçtin.
qstr_Sven_is_my_goal_too.|Sven benim de hedefim. Ben de ava katılmak istiyorum. (Sakin)
qstr_Sven_is_mine!_I_want|Sven benimdir! Onu ölü istiyorum! Ava katılmalıyım. (Hüzünlü)
qstr_No_you_listen_to_me!|Hayır, beni dinle! Sven'e yaptılarının bedelini ödetmek istiyorum. Bana adamları verin! (Fevri)
qstr_Yes!_Those_are_just_|Evet! Bunlar duymak istediğim kelimeler. Ona denizde saldır! (İyimser)
qstr_Your_goal?_Who_are_y|Hedefin? Sen kimsin? Gemin ve adamın var mı?
qstr_Yours?_Sven_is_a_mur|Senin? Sven bir katil ama aptal değil. Bizi bekliyor olacak ve adamları deneyimli Viking. Ona saldırmak istersen durma ama umarım adamların ve gemilerin vardır.
qstr_Beware!_You_may_be_i|Dikkatli ol! Benim evimde olabilirsin ancak misafirperverliğimin de bir sınırı var. Sözlerine dikkat et!^^Böylesi bir sefere çıkmak için kendi adamların ve gemilerin olamlı. 
qstr_Your_enthusiasm_glad|Bu coşkulu halin beni mutlu ediyor. Keşke adamlarımda aynı şekilde düşünse fakat onlar  Sven'den çok korkuyor. Bu av için kaç tane adam ve gemi getirebilirsin?
qstr___He_looks_into_your|--Şaşırmış bir halde gözlerine bakar.--
qstr_This_hunt_is_my_life|Avlanmak benim hayatımdır beyim. Çok dirençli olabilirim. (Sakin)
qstr_Sir_I_have_lost_ever|Beyim her şeyimi kaybettim... Şimdilik uğruna yaşayabileceğim yalnızca intikam var... (Hüzünlü)
qstr_I_shall_not_leave_un|Sen bana bir şans verene kadar ayrılmayacağım. Ve sen bu şansı verene kadar kapında oturacağım. (Fevri)
qstr_You_just_cannot_see_|Şuanda bunu göremiyorsun ama bana ihtiyacın var beyim. Ben Sven'den korkmuyorum! (iyimser)
qstr_Alright!_Alright!_I_|Pekala! Pekala! Görüyorum... Benim bir fikrim var. Dinleyin.
qstr_Oh_by_Thor!_This_isn|Oh, Thor aşkına! Buna hiç gerek yok, değil mi {reg59?woman:man}? Pekala sana bir şans vereceğim.
qstr_Yes_yes_you_are_very|Evet, evet, çok ciddisin. Peki, benim fikrim var.
qstr_Someone_who_is_not_a|Sven'den kormayan aptal olmalıdır fakat belki de ben sana değerini göstermen için bir şans vermeliyim.
qstr_You_have_offered_you|Boğa Boyunlu Sven'in aranmasına katılmana izin vermelerine karşılık hizmetlerini {s11}'e sundun. {s1} değerini kanıtlamanı istedi.
qstr___He_makes_the_sign_|--Kötü talihi uzaklaştırmak için Odin nişanı yapıyor.--
qstr_{s11}_wants_the_prob|{s11} yakındaki manastırda toprak sorununun çözülmesini istiyor. {s3} yakınındaki Willibrord Manastırının başrahibi ile konuş.
qstr_Note:_The_jarl_has_a|Not: Soylu bunun çıkarlarına en uygun şekilde, rahipler üzülmeden çözülmesini istiyor. 
qstr_{s9}_sent_you_to_rec|{s9} seni Friese köyleri ve şehirlerinden 15 adam toplaman için gönderiyor. Bu gücü topladığın zaman geri gelip onunla konuş.
qstr_{s11}_wants_Thiaderd|{s11} Thiaderd'in ölüsünü istiyor. Reginhard ile {s3}{.nin} salonunda buluşman gerekiyor. Thiaderd'in nerede saklandığını biliyor.
qstr___His_eyes_show_joy_|--Gözleri neşeli bakıyor ve güvenle sırtını sıvazlıyor.--
qstr_{s11}_told_me_that_S|{s11} bana Boğa Boyunlu Sven'in Sigurd 'Yılan Göz' Ragnarsson'un işçisi olduğunu söyledi. Danimarka'ya gideceksem {s9} ile konuşmalıyım. 
qstr_Your_king_has_not_wr|Kralın bana yanlış yapmadı ama sen yaptın. Öyle görünüyor ki Sven'i avlamamda bana yardım edemezsin. (Sakin)
qstr_Every_time_I_finish_|Ne zaman bir görevi tamamlasam hemen yeni bir tane buluyorsun! Bu arada Sven hayatta. (Hüzünlü)
qstr_Jarl?_You_promise_mu|Soylu? Çok fazla vaad ediyorsun ama kralın da bu bilgi için aynı şeyi veryiyor. (Fevri)
qstr__Jarl?__I_like_that_|'Soylu?' Bunu sevdim fakat tüm kirli işleri yaparsam 'kral' daha iyi olur! (İyimser)
qstr_I_can_only_help_you_|Sana ancak sen bana yardım edersen yardım edebilirim. Kolay ama ben kral değilsem Sven'i avlamak için ordu ya da kaynağım olmaz. Sen karar ver.
qstr_The_difference_is_th|Fark şu ki artık güvenimi kazandın ve senden son bir şey istiyorum: Kralı öldür ve Sven senindir.
qstr_The_king_will_not_be|Onun için bir yabancı olduğundan kral sana inanmayacak. Eğer tek kelime edersen senin bir yalancı olduğunu söylerim ve öldürülmeni emreder.
qstr_I_admire_your_ambiti|Azmine hayranım ama burada yalnız bir kral olabilir. Ve Friese'deki Danimarkalılar sadece benim gibi bilinen ve güvenilen birini kabul eder.
qstr_{s11}_wants_me_to_ki| {s3} tahtına yükselmek ve bana Sven'i avlamam için adam ve kaynak vermek için {s11} benden kralı ve öz amcası {s9}{.i} öldürmemi istedi.
qstr_{s11}_wants_me_to_kil| {s3} tahtına  ulaşabilmek ve bana Sven'i avlamam için adam ve kaynak vermek için {s11} benden kralı ve öz amcası {s9}{.i} öldürmemi istedi. 
qstr_Note_3:_You_have_cho|Not 3: Sana ihanet edip Sven'in patronu {s11} ile ittifak olduğu için {s9} ile düşman olmayı seçtin. Kellen için suikastçiler yollayacağını biliyorsun.
qstr_I_did_not_know_your_|Planlarını bilmiyorum. Doccinga benden yardım istedi ve ben de gittim.  (Sakin)
qstr_Calm_down_and_tell_me|Sakin ol ve bana sorunun ne olduğunu söyle. Medeniz insanlarız. (Hüzünlü)
qstr_There_is_only_one_tr|Tek bir hain var o da sensin. Allah'ın belası! Bu sana pahalıya patlayacak.(Fevri)
qstr_These_Vikings_were_f|Bu Vikingler az sayıda ve güçsüzler. Ona tahtı alması için yardım ettiğinden tam bir aptalsın. (İyimser)
qstr_Note_3:_You_chose_no|Not 3: Sana ihanet edip Sven'in patronu {s11} ile ittifak olmasına rağmen {s9} ile düşman olmamayı seçtin.
qstr_Note_3:_You_chose_to|Not 3: İhaneti ve Boğa Boyunlu Sven'in yardımcısı Siguard ile ittifakı nedeniyle Kennemer beyinin düşmanı olmayı seçtin.  Kellen için suikastçi göndereceğini biliyorsun. 
qstr_Note_3:_You_chose_not|Not 3: Sana ihanet edip Sven'in patronu {s11} ile ittifak olmasına rağmen {s9} ile düşman olmamayı seçtin.
qstr_Leave_Friese:_Your_r|Friese'den ayrıl: Soylu ile ilişkin kötü bitti. Artık düşmansınız. Ardından suikastçiler yollayacak ve yoluna çıkarsan merhamet göstermeyecek.
qstr_Leave_Friese._Your_r|Friese'den ayrıl. Soylu ile ilişkin kötü bitti. Seni tahta geçmesi için yaptığı planlarını bozmakla suçluyor. Uzun bir süre yoluna çıkmamak en iyisi -- ya da tekrar dost olana kadar.
qstr_You_were_wrong._Thes|Yanıldın. Bu adamlar köyü alıp yağmalayacaklar sonra da Danimarka'dan daha fazla birlik bekleyeceklerdi. Bu artık mümkün değil. Hayallerimi yıktın. Sigurd 'Snake in the Eye' benim bir hain olduğumu düşünecek ve senin yüzünden kellemi isteyecek. Git buradan! Artık burada istenmiyorsun. Eğer karşılaşırsak sinirlerime hakim olup seni öldürmeyeceğime söz veremem. ^^Friese'den ayrılmanı öneririm.
qstr_There_s_nothing_to_t|Konuşacak bir şey yok. Bu adamlar köyü alıp yağmalayacaklar sonra da Danimarka'dan daha fazla birlik bekleyeceklerdi. Bu artık mümkün değil. Hayallerimi yıktın. Sigurd 'Snake in the Eye' benim bir hain olduğumu düşünecek ve senin yüzünden kellemi isteyecek. Git buradan! Artık burada istenmiyorsun. Eğer karşılaşırsak sinirlerime hakim olup seni öldürmeyeceğime söz veremem. ^^Friese'den ayrılmanı öneririm.
qstr_Leave_Friese._Your_re|Friese'den ayrıl. Soylu ile ilişkin kötü bitti. Seni tahta geçmesi için yaptığı planlarını bozmakla suçluyor. Uzun bir süre yoluna çıkmamak en iyisi -- ya da tekrar dost olana kadar.
qstr_You_are_bold_rat_to_|Yaptıklarından sonra hala benimle bu şekilde konuştuğun için cesur ve hain olduğunu düşünüyorum. Hizmetlerin için sana birkaç gün veriyorum. Sonra kellene bir paha biçim ardından suikastçiler salacağım. Tek gözün açık ve yastığının altında bir bıçakla uyumak zorunda kalacaksın. ^Friese'den ayrılmaz da karşılaşırsak seni kendi ellerimle öldüreceğim.
qstr_Leave_Friese._Your_rel|Friese'den ayrıl: Soylu ile ilişkin kötü bitti. Artık düşmansınız. Ardından suikastçiler yollayacak ve yoluna çıkarsan merhamet göstermeyecek.
qstr_No_you_are_a_fool._T|Hayır, tam bir aptalsın. Bu adamlar köyü alıp yağmalayacaklar sonra da Danimarka'dan daha fazla birlik bekleyeceklerdi. Bu artık mümkün değil. Hayallerimi yıktın. Sigurd 'Snake in the Eye' benim bir hain olduğumu düşünecek ve senin yüzünden kellemi isteyecek. Hizmetlerin için sana birkaç gün veriyorum. Sonra kellene bir paha biçim ardından suikastçiler salacağım. Tek gözün açık ve yastığının altında bir bıçakla uyumak zorunda kalacaksın.^Friese'den ayrılmaz da karşılaşırsak seni kendi ellerimle öldüreceğim.
qstr_Investigate_events_i|{s3}'te olayları araştır.
qstr_Help_defend_{s3}.|{s3}'ü savunmaya yardım et.
qstr_The_king_does_not_be|Kral sana inanmaz. İhanet için kanıt bulman gerekir. Belki {s3}{.den} Thonkrik sana yardım edebilir.
qstr_It_seems_you_will_not|Kralın yardımını alamayacaksın gibi görünüyor. Doğrudan {s11} 'Snake in the Eye' ile konuşmalısın. 
qstr_{s10}_won_t_support_y|{s10} seni {s9} ile desteklemiyor.
qstr_I_did_not_want_to_ki| Atli'yı öldürmek istemedim ama başka şansım yoktu. (Sakin)
qstr_I_am_aware_of_the_se|Bu tehlikenin farkındayım. Bana hatırlatmana gerek yok. (Hüzünlü)
qstr_I_did_this_for_you._|Bunu senin için yaptım. Ben olmasam tahtı almak için mektup Sigurd'un eline geçerdi. (Fevri)
qstr_Come_on_sire_I_left_|Hadi ama, hiç tanık bırakmadım. Kurul beni hiçbir şey için suçlayamaz. (iyimser)
qstr_I_see._Well_it_is_yo|Anladım. Pekala. O senin boynun.
qstr_Well_if_Ulf_doesn_t_|Pekala, eğer Ulf senin aleyhine şahitlik etmezse ve bazı soylular seni desteklerse belki bir şansın olabilir. 
qstr_Mark_my_words_{reg59|Sözlerimi iyi dinle {reg59?woman:man}. Eğer Sigurd tahta geçerse hayatının bir anlamı kalmayacak. Sadece kendi çıkarlarını korumaya çalışırken bana benim için neler yaptığını söyleme.
qstr_Remember_that_I_am_t|Benle konuşurken kralın ben olduğumu hatırla. 
qstr_It_seems_that_everyt|Talimin için her şey hazır görünüyor. {s10} kurulda senin olman gerekir gerekmez sana bir ulak yollayacak.
qstr_{s9}_wants_you_back_|{s9} sizi {s11} ile geri istiyor.
qstr_{s9}_wants_you_to_me|{s9} senden Snotingaham yakınlarında Watı Seaxelı {s11} ile buluşup ona ateşkes mektubunu vermeni istiyor.
qstr___You_perceive_that_|--Haberlerinin onu derinden etkilediğini anlıyorsun. --
qstr_I_guess_you_ve_weigh|Sanırım kararını vermeden önce tüm seçenekleri ölçüp biçtin. (Sakin)
qstr_So_all_is_not_lost!_|Bu yüzden her şey kaybedilmedi! (Hüzünlü)
qstr_Retreat_is_dishonora|Kaçmak onursuzdur. Ben bu orduyu geri çekersem zafere götürebilir miyim?  (Fevri)
qstr_Come_come._Retreat?_|Gel, gel. Kaçıyor musun? Korkak mısın? (İyimser)
qstr_We_must_be_realistic|Gerçekçi olmalısın. Diğer türlü elimizdeki her şeyi kaybedebiliriz.
qstr_You_need_not_be_so_d|Bu kadar dramatik olmana gerek yok. Hiçbir şey kaybedilmiş değil! Sadece en mantıklı stratejiyi kuruyorum. 
qstr_Well_I_happen_to_lik|Pekala, mert insanları hep sevmişimdir. Dikkatlice dinle çünkü bu senin ilgini çekecek. 
qstr_No_I_d_rather_be_a_c|Hayır, ölmüş biri olmaktansa zeki olmyı tercih ederim. Sözlerine dikkat et! Ragnar'ın oğullarından biriyle konuştuğunu unutma. Eğer Northhymbre'ya ailemize hakaret ettiğinin hesabını veremezsen şansın kalır mı sence? 
qstr_{s9}_wants_you_hunt_|{s9} senden {s3} yakınlarındaki Batı Seaxe birliğini avlayıp dağıtmanı istiyor.
qstr_{s9}_wants_you_deliv|{s9} senden {s3}'{.deki} kardeşine Danimarka'dan bir güç gelmeyeceğini, ateşkes için Saksonlarla Bjorn'da buluşacağını ve Müerce'den geri çekileceğini bildirmek için bir mektup ulaştırmanı istiyor.
qstr___You_perceive_your_|--Haberlerinin onu derinden etkilediğini anlıyorsun. Cevap vermeden önce bir boğa gibi soluyor.--
qstr___He_looks_into_your_|--Dikkatle gözlerine bakıyor, sonra mektubu sonuna kadar yüksek sesle okuması için bir hizmetçi çağırıyor. Sonra Rathbarth sana bakıp gülümsüyor.--
qstr___He_bites_his_lower|--Alt dudağını bir kaç saniye ısırarak düşünüyor.--
qstr_Note_1:_You_gave_the|Not 1: Mektubu Ragnar'ın oğullarına verdin. {s9} sana teşekkür etti ve artık ona yardım ediyorsun.
qstr___He_rests_a_hand_on|--Tek elini omuzunda tutuyor.--
qstr___He_laughs_loudly._|--Yüksek sesle gülüyor.--
qstr_{s9}_wants_you_find_|{s9} senden {s4}{.nin} {s3}{.i} ile buluşup konuşmanı ve ona bağlılık yemini etmeni istiyor. 
qstr_As_he_rejoins_his_br|Bodo'nun mektubu için ne yapacaklarına karar vermek için kardeşlerine tekrar katıldığından {s11} senden Alban krallığına gidip {s3}{.i} kuşatmanı ve Piktleri zayıflatman için otuz gün tutmanı ve  Northhymbre'de Danimarkalıların arkalarını kollamanı istiyor.
qstr___He_takes_a_deep_bre|--Derin bir nefes alıyor.--
qstr___He_smiles_pleased.|--Memnun bir şekilde gülümsüyor.--
qstr_The_time_to_meet_with_|Asturias krallığının birlikleri ile buluşma vakti geldi. Bodo'nun mektubu onların {s3}{.de} limana gireceklerini belirtiyor ve {s11} senden oraya gidip onlarla tanışmanı istiyor. Bir hain var. Asturian birliklerinin desteğini kazanmak için onu kullan ve onları Ragnar'ın oğullarının tarafına çek. Fakat onları ikna edemezsen, {s11} yok edilmelerini istiyor. ^^Englaland'dan ayrılmadan önce, {s3}'e gidip limanda yaşlı kaptan ile konuşmalısın  çünkü {s11} adam topladı ve gemileri sana yardım etmek için Douar-an-Enez'de.
qstr___He_takes_the_letter_|--Mektubu senin elinden alıyor ve parmaklarının mürekkepe bulanmış olduğunu görüyorsun. Aelfred tüm içeriği sindirerek mektubu yavaşça okuyor. Okuması bitince hiçbir şey söylemeden Bodo'yu çağırıyor ve bir kaç metre uzaklaşarak orada uzun süre konuşuyorlar. --
qstr_Note_1:_You_gave_the_|Not 1: Mektubu Batı Seaxe'e verdin. {s9} sana teşekkür etti ve şimdi ona yardım ediyorsun.
qstr___For_a_moment_he_sh|--Bir dakikalığına şaşırıyor.--
qstr___He_studies_you_slo|--Bir atı teftiş edermiş gibi sana dikkatlice bakıyor.--
qstr_{s9}_wants_you_to_fi|{s9} senden {s4}{.nin} {s3}{.i} ile buluşup konuşmanı ve ona bağlılık yemini etmeni istiyor. 
qstr_As_he_reunites_with_|Bodo'nun mektubu için ne yapacaklarına karar vermek için kardeşlerine tekrar katıldığından {s11} senden Galler krallığına gidip {s3}{.i} kuşatmanı, Gallerlileri zayıflatman için otuz gün tutmanı ve eğer kendi aralarında barış sağlayamıyorlarsa Batı Seaxe'ın topraklarını zorla alacaklarını bildirmeni istiyor.
qstr_The_time_to_meet_with_t|Asturias krallığının birlikleri ile buluşma vakti geldi. Bodo'nun mektubu onların {s3}{.de} limana gireceklerini belirtiyor ve {s11} senden oraya gidip onlarla tanışmanı istiyor. Bir hain var. Asturianlarla ilişkilerini bozmadan onu bulmalı ve diplomatik yollardan yok etmelisin. ^^{s11} sana yardım etmek için Douar-an-Enez'de adam ve gemi topladı. {s3}'e gitmeli ve limandaki yaşlı kaptan ile konuşmalısın.
qstr___He_snaps_his_finge|--Parmaklarını şıklatır.--
qstr_You_must_enter_the_s|Savaş için hazır {s11} alanına girmelisin.
qstr___He_looks_at_you_co|--Sana küçümseyerek bakıyor.--
qstr___He_scratches_his_c|--Düşünceli bir şekilde çenesini kaşıyor. Yirmili yaşlarında zayıf genç bir adam fakat şimdiden saygı görüyor.--
qstr_{s13}_asked_you_to_ga|{s13} senden {reg3} baş sığır toplayıp kendisine getirmeni istedi.
qstr_{s13}_asked_you_to_gat|{s13} senden {reg3} baş sığır toplayıp Aescesdun'a teslim etmeni ve sonra kendisine dönmeni istedi.
qstr___He_puts_his_hand_on_|--Elini senin omzuna koyup gözlerinin içine bakıyor.--
qstr_You_ve_joined_your_a|Ordunu {s11}{.e} ekledin ve büyük Danimarka ordusunun gelmesini bekliyorsun. Batı Seaxe'in kaderi kısa sürede belli olacak gibi görünüyor.
qstr___He_pats_your_back.|--Sırtına vuruyor.--
qstr_You_must_enter_the_se|Savaşa hazırlanmak için {s11} alanına girmelisin.
qstr___Halfdan_laughs_lou|--Halfdan yüksek sesle güler.--
qstr___He_confidently_tou|--Kendinden emin senin saçlarını karıştırıyor.--
qstr_{s13}_asked_you_to_gath|{s13} senden {reg3} baş sığır toplayıp Readingum'a teslim etmeni ve sonra kendisine dönmeni istedi.
qstr_{s13}_asked_you_to_gathe|{s13} senden {reg3} baş sığır toplayıp kendisine teslim etmeni istedi.
qstr___He_hugs_you_tightl|--Seni bir ayı misali sıkıca kucaklıyor.--
qstr_You_ve_joined_your_ar|Ordunu {s11}{.e} ekledin ve Aescesdun'da Saksonlarla ilerlemeye hazırsın. Batı Seaxe'in kaderi kısa sürede belli olacak gibi görünüyor. 
qstr_{s9}_told_you_that_S|{s9} sana Boğa Boyunlu Sven'in yönetimini devraldığı Readingum'a gittiğini söyledi. Woden Ric'te başladığınız şimdi sonlandırma zamanı. Boğa Boyunlu Sven tekrar kaçamayacak. Readingum'a git.
qstr_{s9}_told_you_that_Sv|{s9} sana Boğa Boyunlu Sven'in yönetimini devraldığı Readingum'a gittiğini söyledi. Woden Ric'te başladığınız şimdi sonlandırma zamanı. Boğa Boyunlu Sven tekrar kaçamayacak. Readingum'a git.
qstr_You_are_an_enemy_of_|Krallığımın bir düşmanısın. 
qstr_You_must_earn_my_tru|Topraklarımdan adam toplamak istiyorsan güvenimi kazanmalısın. Şu an ilişkimiz iyi değil.
qstr_Well_I_ve_come_to_kn|Tamam, seni tanımak için geldim ve buna izin vermen beni mutlu eder. Bu nedenle eğer bir adam sana katılmak isterse başka bir beye bağlılığı yoksa bunu yapmakta özgür olacak.
qstr_I_don_t_know_if_I_tr|Topraklarımdan adam alıp savaşa sokman konusunda sana güvenmeli miyim bilmiyorum. Önce kendini kanıtla sonra tekrar gel ve sor.^^(150 ya da daha fazla nam)
qstr_No._I_do_not_know_wh|Hayır. Kim olduğunu bilmiyorum. Bneim toprağımdan adam toplamak istiyorsan güvenimi kazanmalısın. ^^(150 ve daha fazla nam ya da 15 ve üzeri olumlu ilişki gerekli)
qstr_Unfortunately_I_have|Üzgünüm ki dam toplayabileceğim bir bölge yok.
qstr_You_are_challenging_|Bana düelloda meydan mı okuyorsun? Ne komik! Nasıl istersen {playername}, kafanı içine geçirmek güzel bir spor olacak.
qstr_{s16}_and_{s17}|{s16} ve {s17}
qstr_Very_well_I_will_acc|Çok iyi, bir kez daha yemin etmeye hazırsan seni erlerim arasına geri kabul ederim.
qstr_A_pardon_will_only_b|Özür ancak {s17}{.i} bana teslim etmek istiyorsan mümkündür. Koşullarımı kabul ediyor musun? 
qstr_No._There_is_no_chan|Hayır. Aramızda barış ihtimali yok, ilgilenmiyorum.
qstr_I_may_be_able_to_hel|Böyle hassas bir konuda size yardımım dokunabilir. {reg7} peninginiz var mı?
qstr_I_heard_of_your_mist|Vatandaşlarıma karşı zamanında yaptığın hatalardan haberim var, {playername}, eminim ki insanlar bunu unutmamıştır fakat bunlar geçmişte kaldı, o yüzden parayı ver yeter. {reg7} pening mi dedin?
qstr_{playername}_your_tr|{playername}, geçmişte halkıma gaddarca davrandın ama savaş halindeydik. Şu an sana bu konuda yardım etmek istiyorum. Bana {reg7} pening dolu bir kese ver, ben de işini halledeyim.
qstr_{playername}_we_all_|{playername}, hepimiz yanlışlar yaparız. Halkıma zamanında kötü davranmış olabilirsin ama neyse ki kin tutan bir adam değilimdir. İnsanların senin doğru hükümdar olduğuna dair inancını sağlamlaştıracağım. {reg7} pening ver, işini halledeyim.
qstr_Rumor_has_it_{s35}_j|Söylentiye göre, {s35} sadece parayı almış ve insanların suratına bile bakmamış.
qstr_Rumor_has_it_{s35}_k|Söylentiye göre, {s35} parayı kendine saklamış.
qstr_{s34}|{s34}
qstr_Your_efforts_to_brib|Yerli halka rüşvet girişimin başarısızlıkla sonuçlandı.
qstr_Our_marshal_{s1}|Mareşalimiz, {s1}
qstr_We_are_not_at_war_wi|Kimseyle savaşta değiliz.
qstr_go_on_the_offensive_|Saldırıya şimdi devam et.
qstr_act_to_defend_our_la|topraklarımızı savunmak için harekete geç.
qstr_take_more_time_to_ga|orduyu toplamak için biraz daha zaman al.
qstr_You_promised_to_help|{s13}{.nin} {s14} tahtını almasına yardım edeceğine söz verdin.
qstr_What_do_you_say_to_e|Bir paralı asker kaptanı olarak {s9} hizmetine girmek için neler söylersin? Bu görevi yerine getireceğine şüphem yok.
qstr_{s9}_asked_you_to_ta|{s9} senden {s13}{.e} bir mesaj götürmeni istiyor. Sen bu görevi aldığında {s13}{.nin} {s4}{.de} olacağı sanılıyor.
qstr_{s9}_asked_you_to_tak|{s9} senden {s15}{.nin} {s13}{.e} bir mesaj götürmeni istiyor. Sen bu görevi aldığında {s13}{.nin} {s4}{.de} olacağı sanılıyor.
qstr_{s11}_asked_you_to_e|{s11} senden onun {s17} {s13}{.e} {s14}{.e} kadar eşlik etmeni istiyor.
qstr_{s11}_asked_you_to_es|{s11} senden {s17} {s13}'{.e} {s14} yakınlarına kadar eşlik etmeni istedi.
qstr_{s13}_asked_you_to_d|{s13} senden {s15} köyünü yağmalayan haydutlarla ilgilenip kendisine bilgi vermeni istiyor.
qstr_{s9}_asked_you_to_ra|{s9} senden {reg1} {s14} eğitmeni ve onları kendisine götürmeni istiyoe.
qstr_{s9}_asked_you_to_co|{s9} senden {s3}{.den} vergi toplamanı istiyor. Ayrıca burada toplayacağın baranın beşte birini sana vermeyi teklif etti.
qstr_{s9}_asked_you_to_hu|{s9} senden {s4} adında bir kaçağı yakalamanı istedi. Şu sıralar {s3}'de olabilir.
qstr_{s9}_asked_you_to_as|{s9} senden {s3}{.deki} bir yerel tüccarı öldürmeni istedi. 
qstr_{s9}_has_asked_you_t|{s9} senden {s13}{.de} bir casusla buluşmanı istedi.
qstr_{s11}_asked_you_to_f|{s11} senden {s12}{.den} ayrılacak bir casusu takip etmeni istedi. Yolda casusun seni görmemesi için dikkatli ol yoksa şüphelenip geri döner. Casus işbirlikçisi ile buluştuğunda onları yakala ve {s11}{.e} geri getir.
qstr_{s11}_asked_you_to_c|{s11} senden {s13}{.den} herhangi bir beyi esir almanı ve sonra kurbanını güvende olması için {s11}{.e} getirmeni istedi.
qstr_{s9}_asked_you_to_le|{s9} senden yoldaşın {s3}{.i} bir haftalığına kendisine ödünç vermeni istedi.
qstr_{s9}_asked_you_to_col|{s9} senden {s3}{.nin} kendisine olan {reg4} pening borcunu almanı istedi. Sana bu görev verildiği sırada {s3} {s4}{.deydi}. 
qstr_{s11}_gave_you_a_fak|{s11} sana {s13}{.nin} çalışanı {s16}{.i} sürgün etmesi için sahte bir mektup verdi. {s14} yakınına gidip mektubu {s15}{.lerinden} birine verip ulak olarak yollayacaksın. 
qstr_{s9}_has_requested_y|{s9} senden {reg1} {s3} esir olarak getirmeni istedi.
qstr_Lend_your_experience|Deneyimli cerrah {s3}{.i} {s1}{.e} gönder.
qstr_Then_take_it_with_my|O zaman sonsuz teşekkürlerimle kabul et. Soylu birisin. Bu zor anımda bana ettiğin yardımı hiç unutmayacağım.
qstr_Forgive_me_{playerna|Beni bağışlayın {playername}, ama bunu kabul etmeniz için ısrar edeceğim. Bara benim için çok bir şey ifade etmiyor ve size çok borçluyum. Lütfen bunu alın ve bu konuyu kapatalım. 
qstr_{playername}_what_a_|{playername}, ne kadar değerli bir {reg59?woman:man}, fakat bunu reddetmenize izin veremem. Söyleyeceğimden çok daha fazla borçlandım size ve eminim bu parayı siz benden daha iyi değerlendireceksiniz. 
qstr_Oh_{playername}_my_h|Oh, {playername}, kocam devlet işleriyle ziyadesiyle meşgul halde. Benim için bir iyilik yapıp bana {reg25} parça {s17} getirirsen çok minnettar kalırım?
qstr_Oh_{playername}_coul|Oh, {playername}, benim için bir iyilik yapabilir misin? Geçen gün tüccarı gördüm, kapının önünde tuhafiye satışındaydı. Ama yazık ki istediğim gibi para harcayamıyorum....Bir nezakette bulunup bana {reg25} parça {s17} getirebilir misin?
qstr_{s11}_asked_you_to_b|{s11} senden kendisine {reg25} parça {s17} getimeni istedi.
qstr_Oh_{playername}_my_hu|Oh, {playername}, kocam devlet işleriyle o denli meşgul ki... Onun onurunda sürpriz bir parti düzenlemek istiyorum. Bir nezakette bulunup bana {reg25} şişe {s17} 2 parça peynir getirebilir misin?
qstr_Oh_{playername}_could|Oh, {playername}, benim için küçük bir iyilik yapabilir misin? Birkaç arkadaşım ziyaretime geliyor ve ben onlar onuruna bir parti vermek istiyorum. Fakat yazık ki para savuşturamam....Bir nezakette bulunup {reg25} şişe {s17} 2 parça peynir getirebilir misin?
qstr_{s11}_asked_you_to_br|{s11} senden kendisine {reg25} şişe {s17} ve 2 parça peynir getirmeni istedi.
qstr_{s11}_asked_you_to_r|{s11} senden kılık değiştirip onun {s17}, {s13}{.i} {s14}{.den} kurtarmanı ve esir almanı istedi. 
qstr_{s11}_asked_you_to_re|{s11} senden onun {s17}, {s13}{.i} {s14}{.den} kurtarmanı istedi.
qstr_{s11}_asked_you_to_d|{s11} senden {s14}{.de} esir tutulan {s13}{.e} bir mesaj iletmeni istedi.
qstr_You_agreed_to_challe|{s11}{.nin} şerefini savunmak için {s13} düellosunu kabul ediyorsun.
qstr_{s5}__Persuasion_str|{s5} (İkna gücü: {reg5})
qstr_Persuasion_Attempt|İkna çabası
qstr_Welcome_to_Maedelste|Yabancıların hoş karşılandığı -- özellikle gümüş getirmişlerse -- Maedelstede'e hoşgeldin.
qstr_My_mead_hall_is_the_|Benim salonum şehirdekilerin en büyüğüdür Buraya hoşgeldiniz.
qstr_Make_yourselves_comf|Keyfinize bakın. Size içecek ve kalacak yer vereceğim.
qstr_You_get_an_elite_Sax|Pahalı bir Sakson kılıcı alıyorsun.
qstr_You_get_a_Long_Seax.|Bir uzun Seaks'ın var.
qstr_You_get_a_beautiful_|Güzel bir Godelik Baltası aldın.
qstr_You_get_a_personal_b|Kişisel bir sancak aldın.
qstr_You_get_an_expensive|Pahalı bir zırh aldın.
qstr_You_get_a_expensive_|Pahalı bir miğfer aldın.
qstr_You_get_an_expensive_|Pahalı bri zırh üst aldın.
qstr_A_villager_from_{s7}|{s7} köyünden biri köylerinde sığınan haydutlardan onları kurtarman için yalvardı.
qstr_Hey_what_do_you_want|Hey, ne istiyorsun? İçiyoruz şurda.
qstr_Are_you_looking_for_|Canlarını zenginlik ve ihtişam için riske atacak adamlar mı arıyorsun? 
qstr_There_is_food_and_dr|Herkes için yiyecek ve içki var katılmak ister misiniz? 
