str_yes|Sí.
str_a_claim_should_be_strong_indeed_before_one_starts_talking_about_it|Una reclamación ha de ser lo suficientemente fuerte antes de empezar a hablar sobre ella.
str_a_king_should_prove_his_valor_beyond_any_doubt_before_he_starts_talking_about_a_claim_to_the_throne|Un rey ha de demostrar su valor, más allá de toda duda, antes de empezar a hablar sobre reclamaciones al trono.
str_you_must_prove_yourself_a_great_warrior_before_men_will_follow_you_as_king|Has de demostrar ser un gran guerrero antes de que los hombres te sigan como rey.
str_a_claim_to_the_throne_should_be_strong_indeed_before_one_presses_it|Una reclamación al trono debe ser muy sólida antes de recurrir a ella.
str_indeed_but_a_man_must_also_prove_himself_a_great_warrior_before_men_will_follow_you_as_king|Sin duda. Pero un hombre también ha de demostrar ser un gran guerrero antes de que los hombres le sigan como rey.
str_my_pigherd_can_declare_himself_king_if_he_takes_he_fancy_i_think_you_need_to_break_a_few_more_heads_on_tbe_battlefield_before_men_will_follow_you|Un porquerizo puede nombrarse a sí mismo rey, si tal cosa le place. Creo que deberías hendir unos cuantos cráneos en batalla antes de pedir a los hombres que te sigan.
str_if_you_do_not_wish_to_die_on_a_scaffold_like_so_many_failed_pretenders_before_you_i_would_suggest_that_you_to_build_your_claim_on_stronger_foundations_so_that_men_will_follow_you|Si no deseas morir en un cadalso, como tantos pretendientes fallidos antes que tú, te sugiero que bases tu reclamación al trono en unos cimientos más sólidos, para que la gente esté dispuesta a seguirte.
str_if_you_do_not_wish_to_die_on_a_scaffold_like_so_many_failed_pretenders_before_you_i_would_advise_you_prove_yourself_on_the_field_of_battle_so_that_men_will_follow_you|Si no deseas morir en n patíbulo, como tantos otros pretendientes antes que tú, te recomiendo que demuestres tu valía en el campo de batalla, para que la gente esté dispuesta a seguirte.
str_talk_is_for_heralds_and_lawyers_real_kings_prove_themselves_with_their_swords|La charla es para heraldos y juristas. Los verdaderos reyes demuestran su valía con la espada.
str_i_were_you_i_would_try_to_prove_myself_a_bit_more_before_i_went_about_pressing_my_claim|De estar en tu lugar, trataría de demostrar mi valía algo más antes de exigir que se reconozca mi reclamación.
str_indeed_please_continue|Sin duda. Por favor, continúa.
str_me|mí
str_i_worry_about_those_with_whom_you_have_chosen_to_surround_yourself|Me preocupan aquellos que has elegido a tu lado.
str_there_are_some_outstanding_matters_between_me_and_some_of_your_vassals_|Hay algunos asuntos importantes entre algunos de tus vasallos y yo. 
str_my_liege_has_his_faults_but_i_dont_care_for_your_toadies|Mi señor tiene sus defectos, pero no me importan tus aduladores.
str_i_think_youre_a_good_man_but_im_worried_that_you_might_be_pushed_in_the_wrong_direction_by_some_of_those_around_you|Creo que eres un buen hombre, pero me preocupa que hayas sido conducido en la dirección equivocada por alguno de los que te rodean.
str_i_am_loathe_to_fight_alongside_you_so_long_as_you_take_under_your_wing_varlots_and_base_men|Soy reacio a luchar a tu lado, mientras te acompañen rufianes y gente sin modales.
str_ill_be_honest__with_some_of_those_who_follow_you_i_think_id_be_more_comfortable_fighting_against_you_than_with_you|Seré sincero... viendo quienes te acompañan, creo que me hallaría más a disgusto luchando contigo que contra ti.
str_i_say_that_you_can_judge_a_man_by_the_company_he_keeps_and_you_have_surrounded_yourself_with_vipers_and_vultures|Creo que es posible juzgar a un hombre en función de quien le acompaña, y te has rodeado de buitres y víboras.
str_you_know_that_i_have_always_had_a_problem_with_some_of_our_companions|Sabes que he tenido problemas con alguno de tus acompañantes.
str_politically_i_would_be_a_better_position_in_the_court_of_my_current_liege_than_in_yours|Desde un punto de vista político, me hallaría en una mejor posición en la corte de mi actual señor que en la tuya.
str_i_am_more_comfortable_with_you_and_your_companions_than_with_my_current_liege|Estoy más a gsto contigo y tus acompañantes que con mi actual señor
str_militarily_youre_in_no_position_to_protect_me_should_i_be_attacked_id_be_reluctant_to_join_you_until_you_could|Desde un punto de vista militar, no te hallas en posición de protegerme, en caso de ser atacado. No me uniré a tu causa hasta que puedas hacerlo.
str_militarily_when_i_consider_the_lay_of_the_land_i_realize_that_to_pledge_myself_to_you_now_would_endanger_my_faithful_retainers_and_my_family|Desde un punto de vista militar, cuando considero la situación en mis tierras, me doy cuenta de que jurarte lealtad pondría en peligro a mis fieles servidores y a mi familia.
str_militarily_youre_in_no_position_to_come_to_my_help_if_someone_attacked_me_i_dont_mind_a_good_fight_but_i_like_to_have_a_chance_of_winning|Desde un punto de vista militar, no te hallas en posición de ayudarme, si alguien me ataca. Jamás eludo la lucha, pero, cuando ésta llama a mi puerta, me gusta tener una oportunidad de ganar.
str_militarily_you_would_have_me_join_you_only_to_find_myself_isolated_amid_a_sea_of_enemies|Desde un punto de vista militar, en caso de unirme a vosotros, me encontraría aislado en medio de un mar de enemigos.
str_militarily_youre_in_no_position_to_come_to_my_help_if_someone_attacked_me_youd_let_me_be_cut_down_like_a_dog_id_bet|Desde un punto de vista militar, no te hallas en posición de ayudarme, si alguien me ataca. Dejarías que me despedazasen como un perro, estoy seguro.
str_militarily_i_wouldnt_be_any_safer_if_i_joined_you|Desde un punto de vista militar, no estaré más seguro si me uno a ti.
str_militarily_i_might_be_safer_if_i_joined_you|Desde un punto de vista militar, debería estar más seguro si me uno a ti.
str_finally_there_is_a_cost_to_ones_reputation_to_change_sides_in_this_case_the_cost_would_be_very_high|Al final, uno siempre debe pensar con cuidado el cambiar de lealtades, incluso si hay un buen motivo, ya que no es bueno tener fama de renegar de los aliados con facilidad. En este caso, el coste para mi reputación sería muy alto.
str_finally_there_is_a_cost_to_ones_reputation_to_change_sides_in_this_case_the_cost_would_be_significant|Al final, uno siempre debe pensar con cuidado el cambiar de lealtades, incluso si hay un buen motivo, ya que no es bueno tener fama de renegar de los aliados con facilidad. En este caso, el coste para mi reputación sería considerable.
str_finally_there_is_a_cost_to_ones_reputation_to_change_sides_in_this_case_however_many_men_would_understand|Al fin, uno siempre debe pensar con cuidado el cambiar de lealtades, incluso si hay un buen motivo, ya que no es bueno tener fama de renegar de los aliados con facilidad. En este caso, sin embargo, creo que muchos lo entenderían.
str_i_will_not_have_it_be_said_about_me_that_i_am_a_traitor_that_is_my_final_decision_i_have_nothing_more_to_say_on_this_matter|No tendré que oír de mí que soy un traidor. Esa es mi decisión final. No tengo nada más que decir sobre este asunto.
str_i_am_pledged_to_defend_s14_i_am_sorry_though_we_may_meet_on_the_battlefield_i_hope_that_we_will_still_be_friends|He prometido defender {s14}. Lo siento. Aunque podamos encontrarnos en el campo de batalla, espero que sigamos siendo amigos.
str_i_really_cannot_bring_myself_to_renounce_s14_i_am_sorry_please_lets_not_talk_about_this_any_more|En verdad no puedo renegar de {s14}. Lo siento. Por favor, no volvamos a hablar de ello.
str_however_i_have_decided_that_i_must_remain_loyal_to_s14_i_am_sorry|Sin embargo, he decidido que debo seguir siendo leal a {s14}. Lo siento.
str_however_i_will_not_let_you_lead_me_into_treason_do_not_talk_to_me_of_this_again|Sin embargo, no dejaré que me arrastres a la traición. No me hables de esto de nuevo.
str_its_not_good_to_get_a_reputation_as_one_who_abandons_his_liege_that_is_my_decision_let_us_speak_no_more_of_this_matter|No me beneficia ser conocido como alguien que abandona a su señor. Ésa es mi decisión. No hablemos más de este asunto.
str_ive_decided_to_stick_with_s14_i_dont_want_to_talk_about_this_matter_any_more|He decidido seguir con {s14}. No quiero hablar más de este asunto.
str_you_are_challenging_me_to_a_duel_how_droll_as_you_wish_playername_it_will_be_good_sport_to_bash_your_head_in|¿Me desafías a un duelo? ¡Qué gracioso! Como desees, {playername}, será un buen pasatiempo aporrear tu cabeza.
str_call_me_coward_very_well_you_leave_me_no_choice|¿Me llamas cobarde? Muy bien, no me dejas otra elección.
str_reg3_hours|{reg3} horas.
str_hour|hora.
str_however_circumstances_have_changed_since_we_made_that_decision_and_i_may_reconsider_shortly_s16|Sin embargo, las circunstancias han cambiado desde que tomamos esa decisión, y puedo reconsiderarlo pronto. {s16}
str_i_wish_to_marry_your_s11_s10_i_ask_for_your_blessing|Deseo casarme con tu {s11}, {s10}. Solicito tu bendición.
str_i_wish_to_marry_your_s11_s10_i_ask_for_your_help|Deseo casarme con tu {s11}, {s10}. Solicito tu ayuda.
str_you_plan_to_marry_s3_at_a_feast_hosted_by_s4_in_s5_you_should_be_notifed_of_the_feast_as_soon_as_it_is_held|Planeas casarte con {s3} en una fiesta organizada por {s4} en {s5}. Deberías ser informado de la fiesta tan pronto como se lleve a cabo.
str_your_s11_|tu {s11}, 
str_i_ask_again_may|Lo pido de nuevo: puede que
str_may|Puede que
str_very_well_as_far_as_im_concerned_i_suppose_she_can_see_most_anyone_she_likes__within_reason_of_course|Muy bien. En lo que a mí respecta, supongo que ella sabe mejor que nadie lo que quiere; dentro de lo razonable, por supuesto.
str_very_well_an_alliance_with_you_could_be_valuable_go_chat_with_her_and_see_if_you_can_get_her_to_take_a_fancy_to_you_if_she_doesnt_and_if_we_still_want_to_conclude_this_business_then_i_can_make_her_see_reason|Muy bien. Una alianza contigo podría ser interesante. Ve a charlar con ella, a ver si demustra algún interés por ti. Si no es así, y aún nos interesa sellar este acuerdo, entonces puedo hacerla entrar en razón.
str_you_have_my_blessing_to_pay_suit_to_her__so_long_as_your_intentions_are_honorable_of_course_depending_on_how_things_proceed_between_you_two_we_may_have_more_to_discuss_at_a_later_date|Tienen mi bendición para tratar con ella; siempre y cuando sus intenciones sean honorables, por supuesto. Dependiendo de cómo funcionen las cosas entre los dos, podemos discutir los detalles más adelante.
str_the_war_has_barely_begun_so_and_it_is_too_early_to_say_who_is_winning_and_who_is_losing|La guerra apenas ha comenzado, por lo que es demasiado pronto para decir quién está ganando y quién pierde.
str_we_have_been_hitting_them_very_hard_and_giving_them_little_chance_to_recover|Les hemos golpeado duro, dándoles pocas posibilidades de recuperarse.
str_the_fighting_has_been_hard_but_we_have_definitely_been_getting_the_better_of_them|La lucha ha sido dura, pero sin duda los hemos superado.
str_they_have_been_hitting_us_very_hard_and_causing_great_suffering|Nos han sometido a un duro castigo y causado mucho sufrimiento.
str_the_fighting_has_been_hard_and_i_am_afraid_that_we_have_been_having_the_worst_of_it|La lucha ha sido dura, y me temo que nos hemos llevado la peor parte.
str_both_sides_have_suffered_in_the_fighting|Las dos partes han sufrido en la lucha.
str_no_clear_winner_has_yet_emerged_in_the_fighting_but_i_think_we_are_getting_the_better_of_them|No ha surgido ningún claro vencedor en la lucha, pero creo que los hemos superado.
str_no_clear_winner_has_yet_emerged_in_the_fighting_but_i_fear_they_may_be_getting_the_better_of_us|No ha surgido ningún claro vencedor en la lucha, pero me temo que nos han superado.
str_no_clear_winner_has_yet_emerged_in_the_fighting|No ha surgido ningún claro vencedor en la lucha.
str_there_is_no_campaign_currently_in_progress|No está teniendo lugar ninguna campaña en este momento.
str_we_are_assembling_the_army|Estamos reuniendo al ejército.
str_we_aim_to_take_the_fortress_of_s8|Deseamos tomar la fortaleza de {s8}.
str_we_are_on_a_raid_and_are_now_targeting_s8|Nos hallamos en una incursión, y nuestro objetivo es {s8}.
str_we_are_trying_to_seek_out_and_defeat_s8|Intentamos encontrar y derrotar a {s8}.
str_we_are_riding_to_the_defense_of_s8|Cabalgamos en defensa de {s8}.
str_we_are_gathering_for_a_feast_at_s8|Nos reunimos para una fiesta en {s8}.
str__however_that_may_change_shortly_s14| Sin embargo, eso puede cambiar pronto. {s14}
str_it_is_our_custom_to_seal_any_such_alliances_with_marriage_and_in_fact_we_have_been_looking_for_a_suitable_groom_for_my_s11_s14|Es nuestra costumbre sellar ese tipo de alianzas mediante un matrimonio, y de hecho hemos estado buscando un novio adecuado para mi {s11}, {s14}.
str_once_again_|una vez más 
str_cheat__marriage_proposal|Truco - propuesta de matrimonio
str_you_plan_to_marry_s4_as_you_have_no_family_in_calradia_he_will_organize_the_wedding_feast|Planeas casarte con {s4}. Dado que no tienes familia en estas tierras, él organizará la fiesta de bodas.^^Tendrás que esperar a una fiesta para empezar, y luego reunirte con la novia dentro de esa sala de una ciudad o fuerte. Después de 30 días, también puedes pedir a tu novia que acuda a un centro cercano.
str_s43_just_so_you_know_if_you_attack_me_you_will_be_in_violation_of_the_truce_you_signed_with_the_s34|{s43} Para que lo sepas, si me atacas, estarás violando la tregua que alcanzaste con los {s34}
str_very_well__you_are_now_my_liege_as_well_as_my_husband|No nos andemos con rodeos: ahora eres mi señor, así como mi marido, con todas las obligaciones mutuas que ello conlleva.
str_i_thank_you_reg39my_ladylord|Te lo agradezco, {reg39?señora:señor}.
str_now_some_might_say_that_women_have_no_business_leading_mercenary_companies_but_i_suspect_that_you_would_prove_them_wrong_what_do_you_say|Ahora, algunos dirán que las mujeres no deben liderar partidas de mercenarios, pero sospecho que demostrarás que están equivocados. ¿Qué dices?
str_what_do_you_say_to_entering_the_service_of_s9_as_a_mercenary_captain_i_have_no_doubt_that_you_would_be_up_to_the_task|¿Qué me dices del nombramiento de {s9} como capitán mercenario? No tengo ninguna duda de que estarás a la altura.
str_s9_asked_you_to_rescue_s13_who_is_prisoner_at_s24|{s9} te pidió para rescatar a {s13}, que está prisionero en {s24}.
str_s9_asked_you_to_attack_a_village_or_some_caravans_as_to_provoke_a_war_with_s13|{s9} te pidió que atacases a un pueblo o algunas caravanas de mercancías para provocar una guerra con los {s13}.
str_s9_asked_you_to_catch_the_three_groups_of_runaway_serfs_and_bring_them_back_to_s4_alive_and_breathing_he_said_that_all_three_groups_are_heading_towards_s3|{s9} te pidió que atrapes a tres grupos de siervos fugitivos y llevarlos de vuelta a {s4}, vivos e intactos. Te dijo que los tres grupos se dirigen hacia {s3}.
str_you_intend_to_bring_goods_to_s9_in_preparation_for_the_feast_which_will_be_held_as_soon_as_conditions_permit|Tratas de traer mercancías a {s9} para preparar la fiesta, que tendrá lugar en cuanto la situación lo permita.
str_hello_playername|Hola, {playername}
str_ah_my_gentle_playername_how_much_good_it_does_my_heart_to_see_you_again| ¡Cómo me alegra el corazón verte de nuevo! A veces creo que existe algún vínculo espiritual entre nosotros que trasciende la distancia.
str_playername__i_am_so_glad_to_see_you_again_i_must_say_i_do_envy_your_freedom_to_ride_out_and_experience_the_world| He de decir que envidio tu libertad para viajar y conocer mundo.
str_playername__i_am_so_glad_to_see_you_i_trust_that_you_have_been_behaving_honorably_since_last_we_met| Confío en que te hayas comportado de forma honorable desde la última vez que nos vimos.
str_playername__i_am_so_glad_that_you_were_able_to_come| Estoy muy contento de que hayas podido venir.
str_i_do_enjoy_speaking_to_you_but_i_am_sure_you_understand_that_our_people_cluck_their_tongues_at_a_woman_to_spend_too_long_conversing_with_a_man_outside_her_family__although_the_heavens_know_its_never_the_man_who_is_held_to_blame_|No disfruto hablando contigo. Pero estoy seguro de que entendrás que la gente murmura cuando una mujer que pasa demasiado tiempo conversando con un hombre, lejos de su familia. Y los cielos saben que nunca es el hombre el que carga con la deshonra.
str_as_much_as_i_enjoy_speaking_to_you_i_do_not_care_to_be_gossiped_about_by_others_who_might_lack_my_grace_and_beauty_|Por mucho que disfrute hablando contigo, no deseo ser objeto de los chismes de otros que carecen de mi gracia y belleza. 
str_i_do_so_enjoy_speaking_to_you_but_as_a_daughter_of_one_of_the_great_families_of_this_land_i_must_set_an_example_of_propriety_|Disfruto mucho hablando contigo. Pero como hija de uno de los grandes linajes de esta tierra, debo dar ejemplo de decoro. 
str_i_do_so_enjoy_speaking_to_you_but_as_a_daughter_of_good_family_i_must_protect_my_reputation_|Disfruto mucho hablando contigo. Pero, como hija de una buena familia, debo proteger mi reputación. 
str_although_it_is_kind_of_you_to_pay_me_such_attentions_i_suspect_that_you_might_find_other_ladies_who_may_be_more_inclined_to_return_your_affection|Aunque es muy amable por tu parte prestarme estas atenciones, sospecho que podrás encontrar otras damas más propensas a devolver tal afecto.
str_as_flattered_as_i_am_by_your_attentions_perhaps_you_should_seek_out_another_lady_of_somewhat_shall_we_say_different_tastes|Aunque tus atenciones me halagan, tal vez deberías buscar otra mujer de un poco... digamos que con diferentes gustos.
str_as_flattered_as_i_am_by_your_attentions_i_am_a_daughter_of_good_family_and_must_be_aware_of_my_reputation_it_is_not_seemly_that_i_converse_too_much_at_one_time_with_one_man_i_am_sure_you_understand_now_if_you_will_excuse_me|Aunque me halagan tus atenciones, soy una hija de buena familia y debo cuidar mi reputación. No resulta correcto conversar demasiado con un hombre. Estoy segura de que me entiendes. Ahora, si me disculpas...
str_very_well__i_will_let_you_choose_the_time|Muy bien... dejaré que eligas el momento.
str_good_i_am_glad_that_you_have_abandoned_the_notion_of_pushing_me_into_marriage_before_i_was_ready|¡Bien! Me alegro de que hayas dejado de lado la idea de forzarme a contraer matrimonio antes de estar lista.
str_i_am|Soy
str_s12_s11_to_s14|{s12} {s11} a {s14}
str_s12_i_am_here_for_the_feast|{s12}. Estoy aquí por la fiesta.
str_another_tournament_dedication_oh_i_suppose_it_is_always_flattering|¿Otra dedicatoria de torneo? Oh, supongo que siempre es un halago...
str_do_you_why_what_a_most_gallant_thing_to_say|¿Lo harás? Qué palabras más galantes.
str_hmm_i_cannot_say_that_i_altogether_approve_of_such_frivolity_but_i_must_confess_myself_a_bit_flattered|Hmm... No puedo decir que apruebe por completo esta frivolidad, pero he de confesar que estoy halagada.
str_why_thank_you_you_are_most_kind_to_do_so|Gracias. Eres muy amable por hacerlo.
str_you_are_most_courteous_and_courtesy_is_a_fine_virtue_|Eres my cortés, y la cortesía es una gran virtud. 
str_hmm_youre_a_bold_one_but_i_like_that_|Hmm. Eres muy atrevido, pero me gusta eso. 
str_ah_well_they_all_say_that_but_no_matter_a_compliment_well_delivered_is_at_least_a_good_start_|Ah, bien,todos dicen lo mismo. Pero no importa. Un elogio bienintencionado al menos es un buen comienzo. 
str_oh_do_you_mean_that_such_a_kind_thing_to_say|¡Oh! ¿De verdad lo crees? ¡Eres muy amable!
str_you_are_a_most_gallant_young_man_|Eres un joven de lo más galante. 
str__do_come_and_see_me_again_soon| Ven a verme pronto.
str_you_intend_to_ask_s12_for_permission_to_marry_s15|Deseas solicitar a {s12} permiso para casarse con {s15}.
str_you_intend_to_ask_s12_to_pressure_s10_to_marry_you|Deseas solicitar a {s12} que fuerce a {s10} para casarse contigo.
str_do_be_careful_i_am_so_much_endebted_to_you_for_this|¡Ten cuidado! Estoy tan en deuda contigo por esto...
str_go_then__we_shall_see_which_of_you_triumphs|Ve, entonces... veremos quién de vosotros tiene éxito...
str_sigh_i_will_never_truly_understand_men_and_their_rash_actions|(Suspiro). Nunca entenderé a los hombres, y sus acciones precipitadas...
str_you_intend_to_challenge_s13_to_force_him_to_relinquish_his_suit_of_s11|Quieres desafiar a {s13} para obligarle a renunciar a la petición de mano de {s11}.
str_farewell|Adios.
str_farewell_playername|Adios, {playername}.
str___we_believe_that_there_is_money_to_be_made_selling_|  Creemos que se puede hacer dinero vendiendo 
str__we_carry_a_selection_of_goods_although_the_difference_in_prices_for_each_is_not_so_great_we_hope_to_make_a_profit_off_of_the_whole| Transportamos una selección de mercancías. Aunque la diferencia de precios por cada uno no es grande, esperamos obtener beneficios por el total.
str_s14and_other_goods|{s14}y otras mercancías.
str__have_you_not_signed_a_truce_with_our_lord| ¿Has acordado una tregua con nuestro señor?
str_parole|palabra de honor
str__meanwhile_s51_reg2areis_being_held_in_the_castle_but_reg2havehas_made_pledges_not_to_escape_and_reg2areis_being_held_in_more_comfortable_quarters| Mientras tanto, {s51} {reg2?están retenidos:está retenido} en el castillo, aunque {reg2?han:ha} prometido no escapar y, por ello, se {reg2?les:le} trasladó a unas dependencias más cómodas.
str_you_may_be_aware_my_lord_of_the_quarrel_between_s4_and_s5_which_is_damaging_the_unity_of_this_realm_and_sapping_your_authority_if_you_could_persuade_the_lords_to_reconcile_it_would_boost_your_own_standing_however_in_taking_this_on_you_run_the_risk_of_one_the_lords_deciding_that_you_have_taken_the_rivals_side|Debes tener cuidado, {reg59?señora:señor}, con la disputa entre {s4} y {s5} que está dañando la unidad del reino y menoscabando tu autoridad. Si pudieras persuadir a los señores para que se reconciliasen, eso consolidaría tu posición. Sin embargo, si decides hacerlo, correrás el riesgo de que uno de los dos crea que te has puesto de lado de su rival.
str_you_may_be_aware_my_lord_of_the_quarrel_between_s4_and_s5_which_is_damaging_the_unity_of_this_realm_and_sapping_your_authority_if_you_could_persuade_the_lords_to_reconcile_i_imagine_that_s7_would_be_most_pleased_however_in_taking_this_on_you_run_the_risk_of_one_the_lords_deciding_that_you_have_taken_the_rivals_side|Debes tener cuidado, {reg59?señora:señor}, con la disputa entre {s4} y {s5} que está dañando la unidad del reino. Si logras convencer a los señores para que se reconcilien, imagino que {s7} se sentirá complacido. Sin embargo, si decides hacerlo, correrás el riesgo de que uno de los dos crea que te has puesto de lado del su rival.
str__of_course_the_land_is_currently_at_peace_so_you_may_have_better_luck_in_other_realms| Por supuesto, esta tierra se halla ahora en paz, así que tendrás más suerte en otros reinos.
str_here|aquí
str_over|sobre
str_s8_in_s12|{s8} en {s12}
str__has_put_together_a_bounty_on_some_bandits_who_have_been_attacking_travellers_in_the_area| ha ofrecido una recompensa por algunos bandidos que atacan a los viajeros de la zona.
str__is_looking_for_a_way_to_avoid_an_impending_war| está buscando un modo de evitar una guerra inminente.
str__may_need_help_rescuing_an_imprisoned_family_member| puede necesitar ayuda para rescatar a un familiar que se halla prisionero.
str__has_been_asking_around_for_someone_who_might_want_work_id_watch_yourself_with_him_though| ha estado preguntando por los alrededores si hay alguien que busque trabajo. Yo me andaría con cuidado con él.
str_town|ciudad
str_castle|fuerte
str__but_he_is_holding_there_as_a_prisoner_at_dungeon_of_s13| Pero está {reg4?retenida:retenido} en la mazmorra de {s13}.
str_they_say_that_s9_is_a_most_conventional_maiden__devoted_to_her_family_of_a_kind_and_gentle_temperament_a_lady_in_all_her_way|Dicen que {s9} es una doncella muy convencional; consagrada a la familia, de un temperamento apacible, una dama en todos los sentidos.
str_they_say_that_s9_is_a_bit_of_a_romantic_a_dreamer__of_a_gentle_temperament_yet_unpredictable_she_is_likely_to_be_led_by_her_passions_and_will_be_trouble_for_her_family_ill_wager|Dicen que {s9} es de carácter romántico y soñador; el suyo es un temperamento suave, aunque impredecible. A veces se deja llevar por sus pasiones, y creo que eso acabará siendo un problema para su familia.
str_they_say_that_s9_is_determined_to_marry_well_and_make_her_mark_in_the_world_she_may_be_a_tremendous_asset_for_her_husband__provided_he_can_satisfy_her_ambition|Dicen que {s9} se ha propuesto casarse bien y dejar su huella en el mundo. Puede ser un gran apoyo para su marido, ¡siempre que éste pueda satisfacer su ambición!
str_they_say_that_s9_loves_to_hunt_and_ride_maybe_she_wishes_she_were_a_man_whoever_she_marries_will_have_a_tough_job_keeping_the_upper_hand_i_would_say|Dicen que a {s9} le encanta pasear a caballo y salir de caza. ¡Tal vez hubiese querido ser un hombre! Quien se case con ella tendrá una difícil tarea si desea atarla en corto.
str_they_say_that_s9_is_a_lady_of_the_highest_moral_standards_very_admirable_very_admirable__and_very_hard_to_please_ill_warrant|Dicen que {s9} es una dama de elevada moral. Alguien, en verdad, muy admirable. Y muy difícil de complacer, te lo garantizo.
str_s9_is_now_betrothed_to_s11_soon_we_believe_there_shall_be_a_wedding|{s9} está prometida con {s11}. En nuestra opinión, ¡pronto habrá una boda!
str_i_have_not_heard_any_news_about_her|No he oído ninguna noticia sobre ella.
str_they_say_that_s9_has_shown_favor_to_s11_perhaps_it_will_not_be_long_until_they_are_betrothed__if_her_family_permits|Dicen que {s9} ha mostrado su favor hacia {s11}. Tal vez no pase mucho tiempo antes de que estén prometidos, si su familia lo considera oportuno.
str_they_say_that_s9_has_been_forced_by_her_family_into_betrothal_with_s11|Dicen que {s9} ha sido obligada por su familia a su compromiso con {s11}.
str_they_say_that_s9_has_agreed_to_s11s_suit_and_the_two_are_now_betrothed|Dicen que {s9} ha accedido a la petición de {s11}, y ahora están comprometidos.
str_they_say_that_s9_under_pressure_from_her_family_has_agreed_to_betrothal_with_s11|Dicen que {s9}, bajo la presión familiar, ha accedido a comprometerse con {s11}.
str_they_say_that_s9_has_refused_s11s_suit|Dicen que {s9} ha rechazado la oferta matrimonial de {s11}.
str_they_say_that_s11_has_tired_of_pursuing_s9|Dicen que {s11} se ha cansado de cortejar a {s9}.
str_they_say_that_s9s_family_has_forced_her_to_renounce_s11_whom_she_much_loved|Dicen que la familia de {s9} la ha obligado a renunciar a {s11}, al que tanto amaba.
str_they_say_that_s9_has_run_away_with_s11_causing_her_family_much_grievance|Dicen que {s9} se ha fugado con {s11}, lo cual ha escandalizado a su familia.
str_they_say_that_s9_and_s11_have_wed|Dicen que {s9} y {s11} se han desposado.
str_they_say_that_s9_was_recently_visited_by_s11_who_knows_where_that_might_lead|Dicen que hace poco {s9} recibió la visita de {s11}. ¡Quién sabe cómo acabará todo esto!
str_there_is_not_much_to_tell_but_it_is_still_early_in_the_season|No hay mucho que contar, aunque aún es temprano
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_but_it_has_been_going_on_for_a_couple_of_days_and_is_about_to_end_|{s12}Hay una fiesta de los {s3} que tiene lugar en {s4}, pero lleva celebrándose desde hace un par de días y está a punto de finalizar. 
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_should_last_for_at_least_another_day_|{s12}Hay una fiesta de los {s3} que tiene lugar en {s4}, que seguirá celebrándose al menos un día más. 
str_s12there_is_a_feast_of_the_s3_in_progress_at_s4_which_has_only_just_begun_|{s12}Hay una fiesta de los {s3} que tiene lugar en {s4}, y acaba de empezar. 
str_not_at_this_time_no|No. En este momento, no.
str_s12the_great_lords_bring_their_daughters_and_sisters_to_these_occasions_to_see_and_be_seen_so_they_represent_an_excellent_opportunity_to_make_a_ladys_acquaintance|{s12}Los grandes señores llevar a sus hijas y hermanas a estos eventos, para ver y para ser vistas, por lo que suponen una buena oportunidad para encontrar una dama casadera.
str_you_will_not_be_disappointed_sirmadam_you_will_not_find_better_warriors_in_all_calradia|No te arrepentirás, {reg59?señora:señor}. No encontrarás mejores guerreros en estas tierras.
str_your_excellency|excelencia
str_s10_and_s11|{s10} y {s11}
str_your_loyal_subjects|tus leales vasallos
str_loyal_subjects_of_s10|leales vasallos de {s10}
str_the|el
str_we|nosotros
str_track_down_s7_and_defeat_him_defusing_calls_for_war_within_the_s11|Seguir el rastro a {s7} y derrotarlo, para acallar las llamadas a la guerra entre los {s11}.
str_track_down_the_s9_who_attacked_travellers_near_s8_then_report_back_to_the_town|Seguir el rastro a los {s9} que atacan a los viajeros en las inmediaciones de {s8}, y después informar en la ciudad.
str_do_you_wish_to_award_it_to_one_of_your_vassals|¿Quieres recompensar con él a algno de tus vasallos?
str_who_do_you_wish_to_give_it_to|¿A quién deseas entregárselo?
str_sire_my_lady_we_have_taken_s1_s2|{reg59?Señora:Señor}, hemos tomado {s1}. {s2}
str_s12i_want_to_have_s1_for_myself|{s12}Deseo tener a {s1} para mí. {s2}
str_fiefs_s0|(feudos: {s0})
str_production_setting_buy_from_market|Estamos comprando materias primas del mercado.
str_production_setting_buy_from_inventory|Estamos usando sólo las materias primas en nuestro inventario.
str_production_setting_produce_to_inventory|Estamos incluyendo nuestra producción en el inventario.
str_production_setting_produce_to_market|Estamos vendiendo nuestra producción directamente en el inventario.
str_feast_quest_expired|No pudiste celebrar una fiesta, tal y como estaba previsto. Es probable que las campañas militares y otros grandes eventos lo hicieran imposible. Puedes tratar de celebrar la fiesta de nuevo, si lo deseas.
str_amber_riverbeds|playas y ríos con ámbar
str_hunting_forests|bosques de caza y ahumaderos de carne
str_acres_flax|acres de campos de lino
str_enterprise_enemy_realm|{reg59?Señora:Señor}, eres enemigo de este reino. No podemos permitir que compres tierras aquí.
str_you_intend_to_denounce_s14_to_s13_on_behalf_of_s12|Deseas denunciar en privado a {s14} ante {s13}, en nombre de {s12}
str_you_intend_to_denounce_s14_to_his_face_on_behalf_of_s14|Deseas denunciar públicamente {s14} a la cara, en nombre de {s12}
