qstr_Breaking_camp...|Levantando el campamento...
qstr__As_you_reach_the_se| Cuando llegas al poblado tus hombres te saludan.
qstr__As_you_reach_the_set| Cuando llegas al poblado te salundan los hombres leales al señor {s7}.
qstr__You_are_greeted_by_| Te saludan los hombres que te son fieles.
qstr__You_are_greeted_by_m| Te saludan los hombres fieles a {s7}.
qstr_The_rulers_of_the_re|Los soberanos de los reinos están preocupados por la ofensa que cometiste contra tu señor.
qstr_You_make_sure_they_s|Te aseguras de que vean que su señor, {s11}, está retenido como prisionero por tu ejército.
qstr_The_{reg6?town_s:for|Las reservas de comida en {reg6?la ciudad:el fuerte} tardarán en agotarse al menos {reg3} días.
qstr_The_{reg6?town_s:fort|Las reservas de comida {reg6?de la ciudad:del fuerte} se han acabado y los defensores se mueren de hambre.
qstr_>>Your_men_are_build|>>Tus hombres están construyendo puestos de control y pequeños campamentos en torno a {s4} para evitar que nadie entre o salga.^^
qstr_>>Your_perimeter_con|>>Tu perímetro de control está listo. Has establecido un perímetro de vigilancia alrededor de {s4}. Nadie puede entrar o salir sin que lo sepan tus hombres.^Esto te será útil sobre todo cuando haya que negociar la rendición del castillo con su comandante.^^
qstr_>>Your_men_are_ready|>>Tus hombres están listos para el asalto.^^
qstr_>>As_a_disciplined_a|>>Como un ejército disciplinado, sus hombres han construido letrinas, canales de desague y una presa en un arroyo para el baño semanal. Un campamento sano previene las enfermedades.^^
qstr_>>Your_men_have_fini|>>Tus hombres han terminado de construir manteletes. Ahora puedes utilizarlos para proteger a tus guerreros desplegados en vanguardia durante el ataque, y a la fuerza principal en la carga final.^^
qstr_>>Your_men_have_finis|>>Tus hombres han terminado de construir el equipo para escalar los muros.^^
qstr_>>Your_attempt_to_fi|>>Tu intento de hallar un traidor en el poblado ha fracasado.^^
qstr_>>You_have_found_a_t|>>Has encontrado un traidor en {s7} que ha apoyado tus intentos de conquista. Eso hará que resulte más fácil rendir la plaza.^^
qstr_>>Your_attempt_to_ha|>>Tu intento de infiltrar a tus hombres en {s4} ha fracasado.^^
qstr_>>Your_men_have_succ|>>Tus hombres se han infiltrado con éxito en {s4} para causar daño al enemigo.^^
qstr_>>You_ve_managed_to_|>>Has logrado saquear las granjas y cultivos de los alrededores.^^
qstr_>>You_have_sent_men_|>>Has enviado hombres a encontrar un traidor dentro de {s4}.^^
qstr_>>You_have_found_a_tr|>>Has encontrado un traidor dentro de {s4} que ha apoyado tus intentos de conquista. Esto hará que la población sea más propensa a rendirse.^^
qstr_>>Your_men_are_takin|>>Siguiendo tus órdenes, tus hombres están arrasando los cultivos y saqueando las granjas de las inmediaciones de {s4}. Esto les hará más propensos a la rendición.^^
qstr_>>You_have_sent_men_t|>>Has enviado hombres a infiltrarse en {s4}.^^
qstr_>>Your_camp_smells_h|>>Tu campamento apesta. El suelo está embarrado, los guerreros hacen de vientre entre las tiendas y las ratas corretean entre las vituallas y pertrechos.^^
qstr_>>As_a_disciplined_ar|>>Como un ejército disciplinado, sus hombres han construido letrinas, canales de desague y una presa en un arroyo para el baño semanal. Un campamento sano previene las enfermedades.^^
qstr_>>Your_men_are_diggi|>>Tus hombres excavan agujeros para hacer de letrinas y acometen otras medidas para prevenir la enfermedad.^^
qstr_You_need_to_have_more|Necesitas tener más de 250 hombres para esta tarea.
qstr_You_need_to_have_at_|Necesitas tener al menos 40 hombres para que algunos se dediquen a buscar a un traidor.
qstr_You_need_more_than_3|Necesitas tener más de 30 hombres, o de lo contrario, si envías a algunos, dejarás el campamento sin protección.
qstr_You_need_to_have_more_|Necesitas tener más de 10 hombres para poder realizar esta labor.
qstr_You_need_to_have_more_t|Necesitas tener más de 80 hombres para poder hacerlo.
qstr_>>The_assault_equipm|>>El material de asalto está listo. Las tropas esperan tus órdenes.^^
qstr_>>You_look_at_{s4}._|>>Observas a {s4}. Tus hombres guardan silencio mientras esperan la orden de atacar. Sus músculos están tensos, preparados para la batalla, pero tu mente permanece fría y una emoción extraña inunda tus venas.^Un tipo inspira profundamente. «¿Lo hueles? pregunta. Es la gloria. ¿Estás listo para buscarla?»^^
qstr_>>The_steel_of_the_w|>>El acero de las armas resuena, las banderas se mecen al viento y los cuernos de batalla resuenan. Los hombres murmuran, muchos rezan, para reconciliarse con su dios antes de enfrentarse al final de sus vidas. Frente a vosotros sólo hay dos cosas: victoria o muerte.^ La guerra... eso nunca cambia.^^
qstr_>>Winter_is_the_wors|>>El invierno es el peor momento para luchar, pero os halláis en la temporada fría, listos para emprender la conquista de {s4}. Hay quien piensa que eres un temerario, otros un loco. Pero nadie sabe que algún día serás Brytenwalda.^^
qstr_>>It_s_summer_and_ho|>>Es verano y hace calor, tal vez demasiado. Pero, en ese momento, no sientes nada. Como siempre, antes de la batalla, el tiempo se detiene mientras rememoras el pasado... Luego, pones en orden tus pensamientos para disponerte a la lucha, preparándote incluso para lo peor. Para enfrentarte a la muerte.^^
qstr_>>You_look_at_{s4}._Y|>>Observas a {s4}. Sus hombres guardan silencio mientras esperan tu orden de cargar contra el enemigo. Sus músculos están tensos, listos para la batalla, tu mente permanece fría y una emoción extraña inunda tus venas.^Un tipo inspira profundamente. «¿Lo hueles? pregunta. Es la gloria. ¿Estás listo para buscarla?»^^
qstr_>>Your_men_have_finish|>>Tus hombres han terminado de construir los manteletes. Ahora puedes utilizarlos para proteger a tus guerreros desplegados en vanguardia durante el ataque, y a la fuerza principal en la carga final.^^
qstr_>>Your_men_are_buildi|>>Tus hombre están construyendo manteletes.^^
qstr_>>Your_men_have_finishe|>>Tus hombres están terminando de construir escalas.^^
qstr_>>Your_men_are_buildin|>>Tus hombres están construyendo escalas de asalto.^^
qstr_{s4}_lost_between_40|{s4} perdió entre el 40 y 50% de sus reservas de alimentos.
qstr_{s4}_lost_between_50|{s4} perdió entre el 50 y 60% de sus reservas de alimentos.
qstr_{s4}_lost_between_30|{s4} perdió entre el 30 y 40% de sus reservas de alimentos.
qstr_{s4}_lost_between_10|{s4} perdió entre el 10 y 20% de sus reservas de alimentos.
qstr_{s4}_have_between_10|{s4} tiene entre el 10 y 30% de su guarnición enferma durante unos días.
qstr_It_should_have_food_|Hay reservas de comida para {reg6} días.^La guarnición tiene {reg5} hombres.
qstr_^^The_following_armi|^^Los siguientes ejércitos están ahora en el interior:^
qstr_^{s3}_with_{reg1}_tr|^{s3} con {reg1} tropas.
qstr_^^Commander_this_tow|^^Comandante, esta ciudad es como una roca. Muchos, antes de nosotros, han abandonado el sitio antes de intercambiar un sólo golpe, por lo que debemos mantener la moral de los hombres alta. El camino de acceso a la puerta principal es muy estrecho y empinado, pero si acampamos y construimos un ariete que pueda derribar el muro de la entrada posterior de la ciudad. Cuando la muralla se venga abajo, podemos cargar sin perder el aliento, y las escaleras que conducen al interior de la ciudad son más pequeñas allí.
qstr_^^Alt_Clut_the_rock_|^^Alt Clut, la roca sobre Clyde. Es la fortaleza más formidable de los britanos del norte. Hasta ahora nadie la ha tomado mediante un asedio. Dado que domina la desembocadura del Clyde, aquí fue donde el rey Riderch Hael se enfrentó a los bernicios y los pictos.
qstr_^^This_formidable_st|^^Este formidable bastión es la joya del reino de Dumnonia. Hasta aquí llegan barcos del Mediterráneo, con las bodegas repletas de vino y otros productos de lujo. Las leyendas aseguran que un gran señor de la guerra, de nombre Arturo, nació en este lugar.
qstr_^^Dun_Taruo_the_fort|^^Dun Taruo, la fortaleza del toro. Este lugar parece obra de gigantes, y durante siglos los pictos han sabido de su merecida reputación.
qstr_^^The_seat_of_the_br|^^La sede de los bravos guerreros de Gododdin. Desde aquí, en el pasado, organizaron sus ataques contra los bernicios y su heroica muerte jamás será olvidada. Casi puedes percibir su presencia, a pesar de que el reino de Gododdin desapareció hace mucho tiempo.
qstr_^^This_place_is_just|^^Este lugar aguarda a que lo conquistes.
qstr_As_a_last_defensive_|Como último recurso, te retiras a la sala principal de la torre. Acompañado por los guerreros que aún te quedan, presentaréis batalla en este lugar, a la desesperada. Si sois derrotados, no hay otro lugar donde retirarse.
qstr_You_ve_been_driven_a|Os han expulsado de las murallas. Ahora los atacantes han llegado a las calles. Si eres capaz de derrotarlos, tal vez sea posible cambiar el curso de la batalla.
qstr_You_ve_breached_the_|¡Has tomado las murallas, pero los obstinados defensores aún siguen resistiendo en las calles! Tendrás que enfrentarte a ellos antes de poder asaltar la torre situada en el centro de la ciudad.
qstr_The_town_centre_is_y|El centro de la ciudad es tuyo, pero los restantes defensores se han replegado hasta el castillo. Debes romarlo, para poder completar la victoria.
qstr_The_remaining_defend|Los defensores que aún quedan en pie se han reunido en el castillo, el último lugar de resistencia. Debes entrar al asalto y matar a quien se oponga.
qstr_{s10}^^|{s10}^^
qstr_{s10}You_may_decide_|{s10}Deberías prohibir a tus hombres que dañen {reg2?a la ciudad, si deseas conquistarla: al fuerte, si deseas conquistarlo} para tu facción, pero en tal caso es posible que tus tropas pierdan moral.
qstr_{s10}You_can_allow_s|{s10}Puedes permitir algo de saqueo y al tiempo conservar {reg2?la ciudad:el fuerte}.
qstr_However_since_you_ar|Sin embargo, dado que no {reg59?has jurado lealtad a:natural de} {s9}, no hay ninguna posibilidad de que él te reconozca como {reg59?la señora:el señor} de {reg8?esta ciudad:este fuerte}.
qstr_The_enemy_has_been_f|El enemigo se ha visto obligado a retirarse. El asalto ha terminado, mas el asedio continúa.
qstr_As_you_approach_you_|Al acercarte, eres descubierto por los guardias del castillo, que te dan la bienvenida y abren las puertas a su {reg59?reina:rey}.
qstr_As_you_approach_you_a|Al acercarte, eres descubierto por los guardias del castillo, que te dan la bienvenida y abren las puertas a su {reg59?señora:señor}.
qstr_^Christians_aren_t_w|^Los cristianos no son bien recibidos aquí.
qstr_^Christians_are_acce|^Los cristianos son aceptados aquí.
qstr_^Christians_are_in_t|^Los cristianos son mayoría aquí.
qstr_^Christians_are_domi|^Los cristianos dominan el lugar.
qstr_^This_village_is_a_b|^Esta aldea es un bastión de tu fe.
qstr_^Rumor_has_it_that_C|^Se rumorea que la fe cristiana no es más que una farsa, y lugareños siguen adorando a los dioses paganos...
qstr_^Pagans_aren_t_welco|^Los paganos no son bien recibidos aquí.
qstr_^Pagans_are_accepted|^Los paganos son aceptados aquí.
qstr_^Pagans_are_in_the_m|^Los paganos son mayoría aquí.
qstr_^Pagans_are_dominant|^Los paganos dominan el lugar.
qstr_^Rumor_has_it_that_o|^Se rumorea que los antiguos dioses paganos están siendo relegados por Cristo.
qstr_This_village_and_the|Este pueblo y los alrededores te pertenecen.
qstr_You_remember_that_th|Recuerdas que esta aldea y las tierras circundantes pertenecen a {s7}.
qstr_These_lands_belong_t|Estas tierras no pertenecen a nadie.
qstr_The_village_is_infes|La aldea está infestada de {reg8} {s35}.
qstr_The_village_has_been|La aldea ha sido saqueada. Un puñado de almas atormentadas se apartan a tu paso, cuando deambulas entre las cabañas calcinadas.
qstr_The_village_is_being|La aldea está siendo asaltada.
qstr_{s10}_{s12}^{s11}{s6|{s10} {s12}^{s11}{s6}{s7}{s15}
qstr_No_one_here_seems_to|Nadie parece desear unirse a tu hueste.
qstr_Try_as_you_might_you|Por mucho que lo intentas, no puedes derrotar a los bandidos. Enfurecido, saqueas las aldeas de los alrededores, castigando a los campesinos, y dejas tras de ti un páramo calcinado mientras buscas nuevos lugares para saquear.
qstr_castle|castillo
qstr_The_{s17}_has_no_imp|El {s17} no tiene mejoras.
qstr_The_{s17}_has_the_fo|El {s17} cuenta con las siguientes mejoras: {s18}.
qstr___Christian_riots_co| (Disturbios cristianos podrían causar: {reg33} caída de relación)
qstr___Pagan_riots_could_| (Disturbios cristianos podrían causar: {reg33} caída de relación)
qstr_Your_enemies_beat_yo|Tus enemigos te golpean hasta darte por muerto.
qstr_You_have_fallen._You|Has caído. Tus enemigos buscan con rapidez entre tus cosas, para arrebatarte cada moneda que puedan llevarse y, a continuación, se desvanecen en la noche. Te han dejado con vida, aunque sea por poco.
qstr_Luckily_some_of_your|Por suerte algunos de tus compañeros acuden a buscarte, al ver que no regresas, y te descubren tirado en la orilla del camino. Se apresuran para atender tus heridas.
qstr_Luckily_some_passing|Por suerte alguna gente del pueblo te encuentra tirado en la orilla del camino, y se dan cuenta de que no eres un simple mendigo. Te llevan a la cabaña más próxima para atender a tus heridas.
qstr_Going_through_the_ba|Inspeccionando las bolsas de los bandidos, descubres un trozo ajado de pergamino con la palabra “matar” y parte de tu nombre aún visible. Al girar la vitela, puedes leer «reúnete conmigo en {s3}».
qstr_Your_efforts_prove_s|Tus esfuerzos tienen éxito, y algunas personas cambian de creencias.
qstr_Your_efforts_to_conv|Tus esfuerzos para convertir a la gente han fracasado miserablemente.
qstr_You_fail_to_steal_an|Fracasas al intentar robar algo de ganado.
qstr_You_drive_away_{reg1|Te llevas {reg17} cabezas de ganado de las manadas de la aldea.
qstr_People_aren_t_very_h|La gente no parece muy feliz con tu presencia en su hogar.
qstr_^This_town_is_a_bast|^Esta ciudad es un bastión de tu fe.
qstr__As_you_reach_the_sett| Cuando llegas al poblado, eres saludado por tus hombres.^{s15}
qstr_{s11}^{s15}|{s11}^{s15}
qstr__As_you_reach_the_settl| Cuando llegas al poblado, eres saludado por los hombres leales al señor {s7}.^{s15}
qstr__This_fort_seems_to_| Este fuerte parece no pertenecer a nadie.^{s15}
qstr_You_are_greeted_by_m|Eres saludado por varios hombres que te son leales.^{s15}
qstr_You_are_greeted_by_me|Eres saludado por hombres leales a {s7}.^{s15}
qstr__This_town_seems_to_| Esta ciudad parece no pertenecer a nadie.^{s15}
qstr__You_have_successful| Te has infiltrado con éxito.
qstr_{s13}_A_tournament_w|{s13} Un torneo tendrá lugar aquí pronto.
qstr_{s10}_{s14}^{s11}{s1|{s10} {s14}^{s11}{s12}{s13}
qstr_An_expensive_horse_i|Un costoso caballo te es entregado como premio por tu victoria.
qstr_A_fat_cow_is_awarded|Una vaca lechera te es entregada como premio por tu victoria.
qstr_You_are_given_a_beau|Te entregan una hermosa malla adornada con piel, una armadura digna de un poderoso señor de la guerra.
qstr_They_give_you_a_fine|Te regalan una bella espada digna de un noble.
qstr_They_appreciate_your|Te agradecen haber participado en la competición, y se disculpan por no tener ningún premio que ofrecerte.
qstr_Moreover_you_earn_{r|Además, ganas {reg8} peniques al haber apostado por ti... 
qstr_Victory_is_yours!_Yo|¡La victoria es tuya! Has vencido en el combate cuerpo a cuerpo, pero ahora debes prepararte para la siguiente ronda. 
qstr_You_have_been_bested|Has sido vencido en el cuerpo a cuerpo, pero el maestro de ceremonias reconoce tu destreza y valentía, por lo cual se te permite participar en la siguiente ronda.
qstr_You_were_beaten._The|Te han machacado. Los campesinos están enardecidos con su éxito, pero la lección que pretendías enseñarles tal vez no la superes...
qstr_After_beating_your_l|Tras vencer a tu último oponente, explicas a los campesinos cómo defenderse ante ese tipo de ataque. Con suerte, esa experiencia a bordo les servirá para estar preparados la próxima vez.
qstr_The_bandits_are_brok|¡Los bandidos están destrozados! Los pocos que aún quedan con vida y de una pieza huyen con el rabo entre las piernas, aterrorizados por los campesinos y su nuevo campeón.
qstr_Can_t_merge_both_fle|No puedes unir flotas porque tu habilidad Rey del Mar no es bastante alta.
qstr_Can_t_merge_both_flee|No puedes unir flotas porque superaría el limite de flota de siete barcos.
qstr_Fleets_merged.|Flotas unidas.
qstr_The_trader_you_are_e|El mercader al que escoltas no desea usar una barcaza.
qstr_The_ferry_station_is|La estación de barcazas es demasiado pequeña y no puede transportar a un dux y todo su ejército. 
qstr_You_can_t_enter_the_|No puedes acceder al puerto, pues no eres bienvenido en esta ciudad.
qstr_You_can_t_enter_the_p|No puedes acceder al puerto, pues no eres bienvenido en esta ciudad. Además, esta ciudad no puede ser atacada por mar.
qstr_You_can_t_enter_the_po|No puedes entrar en el puerto. Ya tienes una flota en el puerto y tu habilidad Lobo de Mar no es lo suficientemente alta como para fusionar ambas flotas.
qstr_You_can_t_enter_the_por|No puedes entrar en el puerto. Ya tienes una flota en el puerto y no puedes fusionar ambas porque excedería el límite de 7 barcos por flota.
qstr_You_already_have_a_f|Ya tienes una flota en el puerto. ¿Deseas fusionar las dos flotas?
qstr_Number_of_Sailors:_{|Número de marineros: {reg5}^Velocidad según marineros: {reg6}
qstr_Unfortunately_{reg3?|Por desgracia, {reg3?Eres:{s1} es} incapaz de encontrar alguna mercancía con la que obtener beneficios.
qstr_^Buying_{s4}_here_an|^Comprando {s4} aquí y vendiéndolo en {s5} te produciría un beneficio de {reg6} peniques por objeto.{s3}
qstr_{reg3?You_find:{s1}_|{reg3?Encuentras:{s1} encuentra} los siguientes:^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} ganó {reg0} de experiencia.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1} ganó {reg0} experiencia adicional.
qstr_^You_earned_{reg0}_e|^Ganaste {reg0} de experiencia.{s2}
qstr_The_training_didn_t_|El entrenamiento no ha ido nada bien.
qstr_The_training_didn_t_g|El entrenamiento no ha ido bien.
qstr_The_training_went_qu|El entrenamiento ha ido bastante bien.
qstr_The_training_went_ve|El entrenamiento ha ido muy bien.
qstr_The_training_went_pe|El entrenamiento ha ido perfecto.
qstr_You_fall_on_the_grou|Caes al suelo con múltiples heridas. Tu corazón deja de latir lentamente a medida que tu visión se desvanece... Esta batalla ha sido demasiado para ti, y la muerte viene a visitarte.^^Mientras la vida se te escapa, esperas que alguien recuerde que hubo alguien especial llamado {playername}.
qstr_After_losing_the_sea|Tras perder la batalla naval, logras escapar con uno de tus barcos.
qstr_Your_enemies_take_yo|Tus enemigos te toman prisionero.
qstr_{s13}_asked_you_to_r|{s13} te pidió que le informaras con al menos {reg13} tropas.
qstr_{s13}_ordered_you_to|{s13} te ordenó que te unieras al ataque contra {s14}.
qstr_Kingdom_Fails_to_Res|El reino no responde: El {s1} no ha respondido a las provocaciones de {s2}, y {s3} sufre una pérdida de prestigio entre sus súbditos más belicosos...
qstr_There_has_been_an_al|Se ha producido un supuesto incidente fronterizo: {s9}
qstr_There_has_been_an_all|Se ha producido un supuesto incidente fronterizo: la gente del {s4} consideran declarar la guerra a {s3}.
qstr_Border_incident:_Wor|Incidente fronterizo: te llega un mensaje que asegura que {s9}. Aunque ignoras si los rumores son ciertos, sabes una cosa: este incidente aparentemente menor ha enfervorecido a la gente de la {s4}, por lo que resulta más fácil que vayan a la guerra contra el {s3}...
qstr_The_great_lords_of_y|Los grandes señores de tu reino platean a reunirse en el gran hall de {s15} en {s10} para un festín.
qstr_^{s64}^|^{s64}^
qstr_^^Note_that_as_long_|^^Ten en cuenta que mientras sigas siendo dux, los señores del reino estarán esperando que los guíes en campaña. Por lo tanto, si está esperando una fiesta, ya sea de una boda o con otros fines, es posible que desees renunciar al cargo hablando con tu soberano.
qstr_Strange..._You_ve_be|Extraño... has estado dormido, pero no puedes recordar ninguna pesadilla. Lo que sí recuerdas con claridad es el abordaje de los vikingos al Woden Ric, hundiendo sus armas en los cuerpos del capitán y los marineros, y Bodo, el cántabro, defendiéndose como un león acorralado. Aún recuerdas sus palabras: «¡{playername}! ¡Pelea! ¡Estoy a tu lado!»^^Rememoras la muerte --tu muerte-- cuando los enemigos cayeron sobre ti. Aún sientes cómo la cubierta del barco impactó en tu mejilla antes de que, incapaz de respirar, te despidieras del mundo. Tus ojos se encontraron con los de tu madre, justo antes del final, cuando un enorme vikingo, revestido de hierro --¿podría ser Sven?-- golpease tu cabeza con una lanza y arrojara tu cuerpo a un lado.^^Te arrastraste, dejando un rastro de sangre, al preferir entregar tu cuerpo a los peces, pero en tu mente no hay nada más.^^¿Estás muerto? Si lo estás, ¿por qué sientes los músculos doloridos de tu cuerpo, o el calor de una hoguera cerca? ¿Cómo es que puedes apretar las manos, abrir los ojos y distinguir las vigas de una techumbre?^^Y, si de verdad estás vivo, ¿quién te ha salvado, cómo y por qué?
qstr_It_is_night_and_the_|Es de noche, y el monasterio parece tranquilo.
qstr_The_monks_bless_you_|Los monjes te bendicen y continúas tu camino.
qstr_You_don_t_have_enough_|No tienes suficiente plata. ¡Qué contrariedad!
qstr_You_need_to_have_more_m|Necesitas tener más hombres para ello.
qstr_It_is_night_and_the_h|Es de noche, y el hof parece tranquilo.
qstr_The_gothi_has_sacrif|El gothi ha sacrificado varios animales para apaciguar a los dioses en tu nombre.
qstr_You_are_now_a_pagan_a|Ahora eres pagano. Seguidor de Odín y los dioses nórdicos.
qstr_The_majority_of_your|La mayoría de tus tropas son paganas y apoyan tu acción.
qstr_The_majority_of_your_|La mayoría de tus tropas son cristianas y odian tu acción.
qstr_In_the_arms_of_the_d|En los brazos del abad muerto, tus hombres encuentran «El Cathach de Colum Cille».
qstr_The_majority_of_your_t|La mayoría de tus tropas son cristianas y apoyan tu acción.
qstr_The_majority_of_your_tr|La mayoría de tus tropas son paganas y odian tu acción.
qstr_{s3}_is_in_danger._S|{s3} está en peligro. ¡Salva a la aldea del ataque de Sven Cuello de Toro, antes de que sea destruída! ¡Necesitarás un buen número de tropas para repeler el ataque vikingo!
qstr_Return_to_{s3}_and_i|Regresar a {s3} para interrogar al prisionero.
qstr_Return_when_you_have|Regresar cuando tengas 55 ó menos hombres en tu hueste.
qstr_You_have_saved_{s3}.|Has salvado a {s3}. Tal vez ahora sea un buen momento de preguntar a {s9} sobre su relación con Sven.
qstr_{s9}_did_not_come_to|{s9} no vino en ayuda de {s3}. Thonkrik sospecha que el jarl estaba aliado con Sven Cuello de Toro. Tal vez sea un buen momento para hablar con él, o puedes reunirte directamente con el rey para hablarle de la traición de {s9}.
qstr_Loot_Thiaderd_s_camp|Saquear el campamento de Thiaderd.
qstr_Ahead_in_a_small_cam|Más adelante, en un pequeño campamento, hay algunas mujeres y niños, las esposas e hijos de los rebeldes. Se les ve asustados, sin saber a dónde huir.^^Entre esa gente está la esposa y el hijo de Thiaderd. Es una elección difícil, tal vez busquen venganza en el futuro, pero no son guerreros.
qstr_A_small_camp_stands_|Un pequeño campamento se halla junto a un río, es posible distinguir a mujeres y niños entre las cabañas. Un grupo de hombres, pocos en número pero con una actitud agresiva, caminan a tu encuentro. Un tipo muy alto los lidera.
qstr_Note_2:_You_chose_to|Nota 2: Eliges matar a la esposa e hijo de Thiaderd.
qstr_Thiaderd_is_dead._Yo|Thiaderd está muerto. Has completado tu misión.
qstr_Note_2:_You_chose_to_|Nota 2: Eliges respetar la vida de la esposa e hijo de Thiaderd.
qstr_Note_2:_You_chose_to_l|Nota 2: Eliges dejar la esposa e hijo de Thiaderd con vida.
qstr_You_need_room_for_at|¡Necesitas sitio para al menos un miembro más en tu ejército para continuar!
qstr_^^In_the_middle_of_t|^^En el centro de la fortaleza, varios presos van a ser vendidos. ¿Podría estar tu madre entre ellos?
qstr_Note_2:_In_Sven_s_hi|Nota 2: En el escondite de Sven, encontraste a Bodo, uno de los pasajeros del Woden Ric. Gracias a él, conoces el destino del barco tras el ataque vikingo. Al parecer, tu madre todavía está viva, gracias al objeto que Bodo le entregó, pues éste la ha vuelto muy importante para los vikingos.
qstr_Return_when_you_have_|Regresar cuando tengas veinticinco o menos hombres en tu hueste.
qstr_You_think_of_Thora_w|Piensas en Thora, que te visita cada noche, una hermosa mujer que podría darte muchos hijos.
qstr_You_think_of_Thora_wh|Piensas en Thora, que te visita cada noche. Es una mujer hermosa protegida por su padre; no ha de preocuparse en nada, más allá de ser feliz.
qstr_You_think_of_Thora_a|Piensas en Thora, una mujer hermosa protegida por su padre. No ha de preocuparse en nada, más allá de ser feliz.
qstr_One_of_the_greatest_|Una de las más grandes batallas libradas entre West Seaxe y los daneses tuvo lugar aquí. Conservas recuerdos de ese día, ya que participaste en ella.
qstr_This_place_destroyed|Este lugar, destruido por tus hombres, no es más que cenizas y escombros.
qstr_Garrison:_{reg5}__li|Guarnición: {reg5} (límite: {reg0})^^ El tener a tus hombres acantonados en un refugio, al igual que ocurre con los castillos y ciudades, les permite descansar lejos de los peligros del camino y reduce su coste de mantenimiento.
qstr_You_need_to_hire_a_c|Primero necesitas contratar a un cocinero.
qstr_It_is_night_and_your|Es de noche, y tu refugio parece tranquilo; algunos hombres vigilan mientras que el resto están dormidos.
qstr_Your_garrison_size_e|El tamaño de tu guarnición excede el número máximo permitido de hombres que pueden ser alojados en tu refugio. ¡Esta situación producirá descontento entre tus hombres y hará frecuentes las deserciones!
qstr_Garrison_limit:_{reg|Límite de la guarnición: {reg0}
qstr_The_ramshackle_priso|La destartalada prisión de tu refugio no parece muy segura. ¡Tu capitán te sugiere no tener a ningún señor prisionero en ella!
qstr_You_do_not_have_enoug|No tienes suficiente dinero para pagar a tus hombres para demoler el refugio.
qstr_Refuge_demolished!|¡Refugio demolido!
qstr_Your_men_think_you_v|Tus hombres piensan que supone un gesto honorable costear los funerales de Egil, a pesar de que éste se alzó contra ti.
qstr_Note_Egil:_Egil_turn|Nota Egil: Egil se volvió contra ti cuando decidiste entregarle la carta a West Seaxe. Él te atacó, y tuviste que matarlo. Dado que era amado por todos, decidiste pagar su funeral.
qstr_Your_men_think_you_ve|Tus hombres piensan que supone un gesto honorable costear los funerales de Egil, a pesar de que éste se alzó contra ti.
qstr_Message|Mensaje
qstr_Your_men_cry_for_Egi|Tus hombres lloran por la traición de Egil, y lloran su muerte. Muchos le tenían aprecio; algunos incluso le hubiesen preferido como líder.
qstr_Note_Egil:_Egil_turne|Nota Egil: Egil se volvió contra ti cuando decidiste entregarle la carta a West Seaxe. Él te atacó, y tuviste que matarlo. Dejaste que tus hombres lo enterrasen.
qstr_Your_men_cry_for_Egil|Tus hombres lloran la muerte de Egil, mas obedecen tus órdenes. Ahora te consideran un líder fuerte que no perdona a los traidores.
qstr_Note_Egil:_Egil_turned|Nota Egil: Egil se volvió contra ti cuando decidiste entregarle la carta a West Seaxe. Él te atacó, y tuviste que matarlo. Ni siquiera permitiste que tus hombres lo enterrasen.
qstr_Shortly_after_landin|Poco después de tomar tierra, como si te hubiese estado observando, un mensajero aparece cabalgando hacia ti. Unas profundas ojeras luce bajo los ojos, como si llevase días sin dormir, y su caballo parece estar al borde de la extenuación. Por último, inspira hondo y exclama:^^
qstr_{s4}_{playername}_my|{s4}«{playername}, mi jarl, Rathbarth Ragnarsson, ha enviado mensajeros para encontrarte, después de que algunos mercaderes trajeran la noticia de que habías dejado Frankia para pasar a Englaland. Él quiere que te unas a su hermano Halfdan en Readingum, pues está dirigiendo un ataque final sobre West Seaxe. Marchamos desde East Engle con un gran ejército y establecimos un campamento fortificado en Readingum, desde donde saqueamos la zona. Pero Aethelred y Aelfred reunieron el fyrd en Witan Ceaster y nos atacaron. Por suerte, conseguimos rechazarlos.^^Ahora el rey de West Seaxe, asistido por su hermano Aelfred, ha retrocedido hacia el oeste, hasta Aescesdun, donde reúnen un gran ejército para luchar contra nosotros. Tu ayuda es necesaria, pues Halfdan quiere marchar contra ellos antes de que les lleguen más hombres. ¡Esta será la madre de todas las batallas! ¡Si vencemos, West Seaxe será nuestra!^^Jarl Rathbarth me pidió que te mencionara que Sven Cuello de Toro está con Aelfred y lucha en su ejército.»
